Pathway	c	n	Percentage
crtB	c__Acidobacteriae	82	1.8531522799999998
crtB	c__Gammaproteobacteria	890	75.93635294399999
crtB	c__Alphaproteobacteria	444	18.253740919
crtI	c__Verrucomicrobiae	41	1.16093249
crtB	c__Verrucomicrobiae	137	5.79186789
crtB	c__Acidimicrobiia	46	1.16591381
crtI	c__Acidimicrobiia	56	1.45072862
crtI	c__Chthonomonadetes	8	0.12777259
crtB	c__Chthonomonadetes	24	0.37435155
crtI	c__Acidobacteriae	53	1.31968421
crtI	c__Bacteroidia	676	17.632495904600002
crtI	c__Actinomycetia	85	3.6557997789999996
crtB	c__Actinomycetia	31	1.29515442
crtI	c__Polyangia	65	1.54106539
crtB	c__Polyangia	85	2.21529705
crtZ	c__Bacteroidia	378	8.6507608083
crtZ	c__Kapabacteria	1	0.0034219
crtB	c__Kapabacteria	14	0.19040692999999997
crtI	c__Kapabacteria	2	0.014983499999999999
crtZ	c__Polyangia	19	0.8369903700000001
crtZ	c__Alphaproteobacteria	87	5.50413089
crtI	c__Alphaproteobacteria	201	11.47232537
crtI	c__Deinococci	35	0.9064413400000001
crtB	c__Deinococci	16	0.40616574
crtY	c__Deinococci	6	0.2747687
crtB	c__Cyanobacteriia	52	4.16378211
crtI	c__Gammaproteobacteria	200	18.31482338
crtB	c__Armatimonadia	15	0.42636661
crtI	c__Armatimonadia	25	0.63398266
crtY	c__Armatimonadia	8	0.35798007
crtI	c__Planctomycetia	112	4.88081178
crtB	c__Planctomycetia	120	4.0994741
crtI	c__Gemmatimonadetes	48	1.27220174
crtB	c__Gemmatimonadetes	63	1.9051701099999998
crtZ	c__Gammaproteobacteria	1	0.0271544
crtB	c__UBA10030	20	0.11756842
crtZ	c__Acidimicrobiia	30	0.9950104499999999
crtI	c__Syntrophia	1	0.0012686300000000002
crtB	c__RBG-16-71-46	6	0.047177298
crtB	c__Vicinamibacteria	41	2.505370416
crtI	c__Limnocylindria	4	0.10835469
crtI	c__Eremiobacteria	6	0.68851515
crtB	c__Eremiobacteria	5	0.42006419000000006
crtY	c__Verrucomicrobiae	9	0.19380723
crtB	c__Blastocatellia	38	0.6878071880000001
crtI	c__Blastocatellia	48	0.888523668
crtB	c__Anaerolineae	16	0.15730414
crtY	c__Anaerolineae	11	0.09765013
crtB	c__Myxococcia	22	0.40544563
crtI	c__Myxococcia	44	0.82512113
crtI	c__Bacteriovoracia	6	0.21399583
crtB	c__Bdellovibrionia	41	0.161935942
crtI	c__Bdellovibrionia	43	0.183470142
crtY	c__Actinomycetia	12	0.4040778
crtB	c__Nitrospiria	9	2.3770331000000002
