	GL100_DN	GL100_UP	GL102_DN	GL103_DN	GL103_UP	GL104_DN	GL104_UP	GL106_DN	GL106_UP	GL109_DN	GL109_UP	GL11_Down	GL11_UP	GL111_DN	GL114_DN	GL114_UP	GL115_DN	GL115_UP	GL116_DN	GL116_UP	GL117_DN	GL117_UP	GL119_DN	GL119_UP	GL12_Down	GL12_DownB	GL12_Up	GL121_DN	GL121_UP	GL122_DN	GL122_UP	GL124_UP	GL126_DN	GL127_UP	GL13_Down	GL13_DownB	GL13_Up	GL13_UpB	GL130_DN	GL130_UP	GL132_DN	GL132_UP	GL133_DN	GL133_UP	GL135_DN	GL135_UP	GL137_UP	GL139_DN	GL139_UP	GL14_Down	GL14_Up	GL140_1	GL140_2	GL140_3	GL140_4	GL140_5	GL140_6	GL15_Down	GL15_Up	GL16_Down	GL16_UP	GL17_Down	GL17_Up	GL22_DN	GL22_UP	GL24_DN	GL24_UP	GL26_DN	GL26_UP	GL27_DN	GL27_UP	GL28_DN	GL28_UP	GL29_DN	GL29_UP	GL30_DN	GL30_UP	GL32_Down	GL32_UP	GL34_DN	GL34_UP	GL35_DN	GL36_DN	GL36_UP	GL42_DN	GL43_DN	GL44_Down	GL44_UP	GL45_Down	GL45_UP	GL46_Down	GL46_Up	GL47_Down	GL47_Up	GL48_Down	GL48_UP	GL49_Down	GL49_UP	GL5_Up	GL50_Down	GL50_UP	GL51_DN	GL51_Up	GL52_DN	GL53_Down	GL54_DN	GL54_UP	GL56_Up	GL58_Down	GL58_Up	GL6_Down	GL61_DN	GL65_DN	GL65_UP	GL68_DN	GL7_UP	GL72_DN	GL73_DN	GL73_UP	GL74_DN	GL74_UP	GL75_DN	GL75_UP	GL77_DN	GL77_UP	GL79_UP	GL80_DN	GL80_UP	GL81_UP	GL82_DN	GL82_UP	GL85_DN	GL85_UP	GL86_DN	GL86_UP	GL88_DN	GL88_UP	GL90_DN	GL90_UP	GL91_DN	GL91_UP	GL92_DN	GL92_UP	GL93_DN	GL93_UP	GL94_DN	GL94_UP	GL95_DN	GL95_UP	GL96_UP	GL97_DN	GL97_UP	GL98_DN	GL98_UP	GL99_DN	GL99_UP
3HPcoA dehydr	645	1276	609	1011	716	560	765	41	22	785	797	1430	988	292	449	434	880	2875	107	122	115	348	826	451	213	258	214	167	200	59	23	65	283	185	1941	2143	761	1137	163	128	42	38	170	29	19	27	14	125	126	556	377	527	1909	3085	1710	1859	1482	1791	3060	582	594	716	428	705	116	419	99	107	235	194	426	240	243	445	472	258	153	289	389	1313	322	632	173	189	174	77	403	25	646	286	108	102	195	115	396	247	125	86	287	228	311	209	216	745	175	640	542	280	1207	515	426	2985	180	106	1482	1124	388	2044	728	1223	566	101	108	402	276	29	924	1849	351	1120	276	365	65	1178	551	2920	559	1128	784	555	185	744	1030	610	235	3664	155	1066	1151	297	1008	438	399	959	1472	1048
CYP55	1244	391	438	713	460	243	472	293	818	69	271	451	446	270	70	29	220	776	234	577	320	267	145	79	314	349	413	158	365	133	286	261	144	159	386	446	437	631	216	154	182	96	301	97	273	217	143	199	669	374	313	1860	1877	1629	668	631	671	469	360	191	300	117	72	157	183	523	172	224	478	475	904	1106	1058	821	768	1999	1442	393	1384	1727	256	333	290	634	573	420	239	633	454	547	446	497	413	326	611	452	1030	842	207	788	824	624	852	1008	800	935	445	540	1197	770	42	172	2128	2737	862	81	2094	207	448	503	1751	669	1204	459	1020	145	1088	1249	353	2613	1894	2762	1359	447	197	85	499	1028	1400	738	915	1243	1111	1660	1579	1522	2044	543	659	58	912	177	1078	1235	1245	1517
NIT-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	7	0	0	0	0	22	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	11	0	3	0	8	0	340	0	0	0	0	0	5	21	0	0	0	16	0	0	5	5	29	32	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	53	103	0	14	646	0	0	8	0	0	0	5	0	0	0	0	24	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	15	0	0
NR	28	5	9	0	3	0	7	586	3	1	0	0	0	1	11	5	0	0	1	632	98	298	36	1	0	2	0	0	0	568	89	120	0	5	0	0	25	56	22	250	295	54	48	31	173	140	727	36	3	0	0	0	0	0	0	0	0	4	142	0	0	0	0	0	40	2	0	0	0	6	14	2	0	26	25	7	12	5	10	7	965	5	4	6	0	11	10	530	2	0	81	292	12	0	51	18	48	119	0	2	1	7	16	0	0	0	27	0	1	12	0	0	0	0	23	0	0	0	0	4	4	91	235	0	38	1622	5	12	25	0	0	1	9	0	0	1	22	11	123	51	21	28	26	69	7	15	12	0	11	0	8	0	290	12	0	0
PRK, prkB	112681	94218	73305	55534	113984	69891	97103	44061	46317	118602	80354	127779	146288	87983	136836	112186	61049	42824	45570	39517	44565	75087	66080	100658	75374	96294	85749	61311	45509	115439	114669	124217	63101	30637	133600	157854	96744	134113	49784	81555	101296	125692	71415	113714	102608	95665	128894	29095	45143	83183	57927	166048	111126	105973	43234	43137	43041	89761	72830	64180	65806	122433	139387	88950	99592	61593	109981	60735	81272	61578	107982	78269	74886	113140	106176	138994	122966	42462	77891	87566	389456	100466	81856	64015	123836	188426	69309	85720	118938	83134	84541	89227	90856	105811	118691	102796	87483	71519	39972	103658	140740	120115	61252	123289	74035	191859	118510	130868	152703	193060	49756	91055	111448	92623	191044	125767	59218	80329	47916	106055	87399	111451	150602	81701	85266	102969	85552	101544	88125	220683	224400	96755	96681	182934	83428	166108	73780	93120	124976	151404	199169	96607	87693	131085	158575	172841	160837	184321	205929	138726	124253	90220	154063	98232	94800	85536
SUOX	12968	28406	12484	17788	18136	21088	27611	8352	17614	14373	13331	10840	9774	11458	21591	22605	20565	12322	14098	7439	10952	30116	26026	15746	9231	12381	10378	16528	7046	15440	11748	9493	31087	13952	20119	22474	10609	14694	10242	14160	11426	20555	17834	20383	9940	8982	17518	15121	5655	8313	6393	20187	28229	27078	24205	23964	24203	14961	14120	14441	15518	12982	15389	10660	8221	17861	19495	30711	24313	11726	17445	17890	11714	16793	18803	18083	15947	9709	5020	13458	6911	7632	17601	13219	11054	8481	31644	4080	25421	19590	10218	8839	19577	17544	19281	17971	8658	9129	16955	8646	13968	16069	8668	7760	21902	5022	3008	17424	22800	44112	14226	1942	5706	8375	12401	22789	13575	13277	6606	15428	8260	8829	11473	21095	6013	3106	15777	16272	18012	15386	10360	10893	3369	8876	11519	8628	12605	11822	14224	10506	5759	12848	15447	16137	10557	12667	19180	9822	12682	8919	16869	32022	9968	9848	18320	22828
UreD	68839	75029	56124	54095	66390	58139	81131	44659	36068	53779	42273	66348	68671	51249	61401	54487	62795	50250	47757	32060	34301	53019	52657	70056	44474	57495	53224	35146	36957	90793	77558	114705	35000	30504	76237	88929	46633	64524	34922	46286	55022	75861	44950	70139	57239	52949	70566	29460	29654	48759	36329	104513	79967	67724	30169	30155	31033	52373	46828	43685	52214	63065	67596	49941	47097	50908	58127	45430	60928	43687	62356	56365	46224	72534	65392	69534	71133	33628	55958	64295	59263	75531	63169	59444	82766	76142	50342	56676	68966	51998	69895	86788	63818	69785	80165	63258	63743	49123	31417	71161	74725	74544	42720	82012	59320	95951	81698	86034	83728	99857	31185	57385	82879	72503	92644	77647	102189	57869	38290	75733	73924	88751	79121	63408	58088	111122	67201	64667	64226	95264	98160	89433	62073	76475	41431	86885	55710	79396	74691	83718	91602	68112	68537	89560	67117	96873	66840	72493	94503	55445	70589	58476	83341	90533	76296	70812
abfD	31885	30062	39698	19531	15562	23119	45317	15976	15493	33927	19870	25728	34679	33390	33584	23047	7554	21434	31745	26951	11663	21398	14634	10247	17268	22103	20810	17181	27169	36230	32946	40799	17943	9577	28130	32983	24848	31700	12463	23667	32187	35582	29056	32677	37036	36124	31415	13664	26179	8657	7144	42556	38338	36466	27198	26171	26813	18941	21132	12209	15888	25744	31407	19314	32432	20184	27850	17044	28536	19523	51225	25005	22615	36763	35962	51615	48047	22454	43221	39918	36212	51459	32427	30644	62410	46176	22579	46721	30169	23364	42060	32569	40218	52981	54739	40970	44759	36250	5148	54406	62533	51259	23575	47545	33417	77444	65478	50720	55652	70667	21523	12280	28483	30084	80093	34266	35068	12431	8617	39707	34588	38134	38815	25888	34433	44009	35497	41531	38831	76164	62968	86607	62392	76316	23295	47334	37521	43329	38425	69955	58947	27594	33020	55219	55699	88754	45907	68206	79727	20415	49501	26574	69063	63813	39378	33572
accC	198100	204757	225611	198843	203697	209324	260509	220150	230261	169330	128324	191335	191188	185352	197688	152152	172128	199133	210604	198276	148258	208890	171061	169728	131605	167343	162451	149707	150261	305714	279757	324228	152242	112554	181298	212905	147583	206101	110121	184170	211873	310166	201061	300562	221689	219406	284962	120240	180706	140710	100152	261087	251449	216345	197236	198686	199812	155332	160170	186653	166123	225112	220334	126966	164895	157155	170780	179287	231311	150153	274666	229952	174538	259291	234428	260770	271647	161580	233017	217933	311412	211898	207477	180825	278669	235804	187312	247996	224849	201003	272343	302757	254954	278391	277912	261534	304326	255459	104856	276181	274654	278617	172971	235475	208896	274156	226829	252552	236750	303426	100389	97962	257182	240365	318388	185488	261466	190752	112040	250436	231035	243062	270585	164839	210950	336162	225565	257993	232093	319208	321271	253798	172839	254871	149245	195083	225790	239848	235310	281401	272421	188283	200497	267726	274073	315247	292265	250089	351637	154785	223130	185374	295795	260672	245158	241799
aclA	6532	29716	8377	12151	11869	14016	19537	3726	6681	9025	8883	7762	6949	4386	10750	11717	17356	6081	9280	3437	7514	15617	22873	14244	8387	10382	9786	13706	5244	403	514	430	26121	11722	14532	16690	7750	10650	6125	4382	1570	258	6901	821	697	167	249	11303	509	3927	3243	5507	12386	11636	12762	12458	12460	7250	7411	6392	6930	8692	11833	7566	5262	13558	9679	24562	14440	5237	9270	11244	8368	10921	11133	7021	3034	3674	289	1853	144	1563	11583	6735	7190	4515	26611	2737	21170	13479	5663	3961	9845	8228	13630	13588	5437	4008	12730	6669	11875	11279	4600	5010	16222	6956	4646	13217	16112	23778	11598	324	296	402	4615	16197	1835	12239	6841	7451	2392	2001	703	17363	3193	424	10427	10321	11309	6671	3226	3653	2717	5440	11661	6030	9044	10444	7723	5873	2881	5984	8498	9622	2218	3487	3592	6821	5406	7659	10709	17457	3734	10698	12011	13921
