Path	KO	Description	Category
01053 Biosynthesis of siderophore group nonribosomal peptides	K01851	pchA; salicylate biosynthesis isochorismate synthase [EC:5.4.4.2]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K02552	menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K02361	entC; isochorismate synthase [EC:5.4.4.2]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K01252	entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K02362	entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K02363	entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate---[aryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.71]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K02364	entF; L-serine---[L-seryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.72]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K24147	entH; proofreading thioesterase EntH	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K04778	vibH; vibriobactin synthetase	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K12237	vibF; nonribosomal peptide synthetase VibF	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K04780	dhbF; glyine---[glycyl-carrier protein] ligase [EC:6.2.1.66]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K15653	mxcG; nonribosomal peptide synthetase MxcG	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K15681	mxcL; aminotransferase MxcL	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K04781	mbtI, irp9, ybtS; salicylate synthetase [EC:5.4.4.2 4.2.99.21]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K04782	pchB; isochorismate pyruvate lyase [EC:4.2.99.21]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K12238	pchD; salicylate---[aryl-carrier protein] ligase [EC:6.2.1.61]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K12239	pchE; L-cysteine---[L-cysteinyl-carrier protein] ligase PchE [EC:6.2.1.69]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K12240	pchF; L-cysteine---[L-cysteinyl-carrier protein] ligase PchF [EC:6.2.1.69]	Siderophores
01053 Biosynthesis of siderophore group nonribosomal peptides	K12241	pchG; pyochelin biosynthesis protein PchG	Siderophores
