Sample	code_gl	Site_c	water_temp [C]	ph [pH]	do [mg l-1]	do_sat [saturation]	w_co2 [mATM]	conductivity [uS cm -1]	turb [NTU]	rdna [boolean]	lat_sn [DD]	lon_sn [DD]	ele_sn [m]	lat_sp [DD]	lon_sp [DD]	ele_sp [m]	max_el [m]	mean_el [m]	sn_sp_dist [m]	sn_sp_ele [m]	abl_asp [°]	gl_sa [km2]	gl_cov [%]	gl_a [km2]	mb_obs	fv_obs	data_ts	sn_data_ts	chla [ug g-1]	eps [ugC g-1]	ag [nmol g-1 h-1]	ap [nmol g-1 h-1]	bg [nmol g-1 h-1]	lap [nmol g-1 h-1]	nag [nmol g-1 h-1]	bp [ngC g-1 h-1]	wba [cells ml-1]	sba [cells g-1]	respiration [mg 02 g-1 h-1]	abs254 [m-1]	abs300 [m-1]	suva [mg C l-1 m-1]	e2e3 [proportion]	e4e6 [proportion]	s275295 [nm-1]	s350400 [nm-1]	s300700 [nm-1]	sr [proportion]	bix [proportion]	fi [proportion]	hix [proportion]	coble_t [RU]	coble_a [RU]	coble_m [RU]	coble_c [RU]	doc [ug l-1]	i1_na [ug l-1]	i2_k [ug l-1]	i3_mg [ug l-1]	i4_ca [ug l-1]	i5_cl [ug l-1]	i6_so4 [ug l-1]	n3_srp [ug l-1]	n4_nh4 [ug l-1]	n5_no3 [ug l-1]	n6_no2 [ug l-1]	hydro_isotope [per_mil]	oxy_isotope [per_mil]
GL100_DN	GL100	Alps	2.2	7.82	10.5	98.7	227.4	228	15.8	0	44.8836	6.2926	2342	44.8863	6.2941	2234	3363	2848	336	108	45	1.24	0.25	4.96	NA	NA	20200807	20200807	0.005498778	2.745299333	0.009975841	0.610656982	0.027045953	2.056822458	0.00175853	21.35005667	NA	7051930.513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.492603	0.380248	2.154385	29.604	0.269755	74.26182	1.88	9.15	177.07	0.88	-85.0323	-12.157
GL100_UP	GL100	Alps	1.2	7.8	10.7	99.1	238.5	238	11	0	44.8836	6.2926	2342	44.8843	6.2934	2301	3363	2847	101	41	45	1.22	0.27	4.46	NA	NA	20200807	20200807	0.002038555	0.558653	0.00627445	0.275741295	0.019528177	1.91871791	0.001901128	17.73206667	NA	10682771.43	NA	2.171333333	1.773	1.097333333	1.642333333	0.966666667	0.004	0.004	0.003	1.008666667	0.872329667	1.290765	1.187575	0.013131667	0.022817	0.013158667	0.009007667	85.8	1.33346	0.43141	2.20513	30.73867	0.178815	76.34456	1.99	12.83	165.38	0.78	-85.4488	-12.1979
GL102_DN	GL102	Alps	3.9	7.74	10.5	99.6	277.7	102.9	NA	0	44.9356	6.3184	2443	44.9387	6.2986	1880	3957	2830	1612	563	270	1.96	0.21	9.44	NA	NA	20200807	20200807	0.046689555	1.437268667	0.056678927	2.396691232	0.275584399	4.365715391	0.058693155	70.618345	NA	16247420.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04066	0.39385	1.14287	12.39071	0.27465	26.64818	2.06	12.21	202.35	0.77	-90.6374	-12.7835
GL103_DN	GL103	Nepal	5.6	7.93	7.8	100.5	NA	79.6	8.324337	0	28.2307	85.5628	4067	28.22356	85.56226	3989	7205	5340	1568	30	135	5.52	0.29	18.71892	NA	NA	20201101	20210317	0.057358444	NA	0.114317667	7.454535445	0.735470334	6.657740555	0.336609	NA	NA	1739775.743	1.56E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7275	1.18	1.362	11.111	0.29	16.53	0.84	14.99	255.23	4.84	NA	NA
GL103_UP	GL103	Nepal	0.2	7.92	8.75	97.5	NA	86.2	8	1	28.2307	85.5628	4067	28.2298	85.56236	4062	7205	5340	432	3	135	5.52	0.34	16.301251	NA	NA	20201101	20210317	0.064399667	NA	0.220223444	2.550987	1.680283	2.288548889	0.864964333	38.749155	NA	1345140.525	NA	0.773333333	0.606	0.292666667	1.778333333	1.995666667	0.006	0.002	0.003	2.917	0.760147667	1.238366	3.498558	0.007102333	0.023713667	0.014811333	0.011139	115	3.005	1.2435	1.481	11.729	0.3685	18.436	0.64	13.67	255.59	4.03	NA	NA
GL104_DN	GL104	Nepal	3.4	7.725	8.09	100.5	NA	47.6	49.42677	0	28.2357	85.5772	4459	28.23195	85.57248	4197	6314	5609	943	37	180	3.97	0.67	5.926477	NA	2	20201101	20210318	0.020343222	NA	0.565887111	3.705955778	0.697531667	10.58209033	1.118144778	NA	NA	5056846.414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14	0.601	1.26	7.5765	0.071	6.638	0.85	39.26	116.8	0.64	NA	NA
GL104_UP	GL104	Nepal	0	8.088	8.55	99.2	NA	49.8	48.17423	0	28.2357	85.5772	4459	28.23401	85.57678	4369	6314	5609	103	5	180	3.97	0.68	5.805793	NA	2	20201101	20210318	0.006176666	NA	0.083276222	1.281330111	0.420396555	4.904589778	0.364082667	NA	NA	2070388.324	6.12E-05	2.538333333	1.738333333	1.067333333	2.465666667	2.222666667	0.009	0.006333333	0.006333333	1.435333333	0.902569	1.143549333	0.847940667	0.014653	0.023535	0.012585667	0.008775667	103.3333333	1.749	0.563	1.3455	8.325	0.11	7.7595	1.94	13.31	131.13	2.47	NA	NA
GL106_DN	GL106	Nepal	4	7.752	8	101.6	NA	103.8	17.40682	0	28.1922	85.6979	4534	28.20647	85.67937	4234	6942	5428	600	78	270	21.3	0.38	55.45015	NA	NA	20201101	20201101	0.091157445	NA	NA	NA	NA	NA	NA	268.7031767	NA	1325121.165	1.44E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.304	1.645	0.939	16.5635	0.1195	21.678	1.04	13.74	47.04	2.84	NA	NA
GL106_UP	GL106	Nepal	0.6	7.66	8.55	100.5	NA	105.8	19.39803	0	28.1922	85.6979	4534	28.19602	85.69055	4426	6942	5428	60	10	270	21.3	0.41	51.90574	NA	NA	20201101	20201101	0.004868666	NA	NA	NA	NA	NA	NA	127.27105	NA	1209572.308	4.71E-05	1.118333333	0.728666667	0.4375	2.152333333	1.873333333	0.008666667	0.002	0.003	3.818666667	0.895060333	1.320742	1.263831333	0.017128333	0.016006333	0.008759	0.005792667	72.66666667	2.4075	1.794	0.9435	16.4245	0.126	22.813	1.23	23.59	31.63	2.23	NA	NA
GL109_DN	GL109	Nepal	5.1	8.432	8.34	99.3	NA	321	14.90175	0	28.6391	84.0433	3844	28.64778	84.04729	3496	6621	4804	496	86	45	1.25	0.2	6.160531	NA	NA	20201101	20201101	5.48E-04	NA	0.029827111	3.501547222	0.118367556	17.41257444	0.071622111	31.67060033	NA	691111.1096	2.60E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5205	0.5905	20.4415	35.5435	0.0805	54.01	1.68	9.73	112.14	2.15	NA	NA
GL109_UP	GL109	Nepal	1.1	8.305	9.44	101.2	NA	280	149.0836	0	28.6391	84.0433	3844	28.64621	84.04721	3543	6621	4804	146	17	45	1.25	0.21	6.000976	NA	NA	20201101	20201101	0.002014611	NA	0.022589556	3.002963	0.170509778	21.72648667	0.055119111	30.14211033	NA	375306.7564	3.70E-05	0.499666667	0.477333333	0.194333333	1.124666667	1.518333333	0.002333333	0	0.001	38.4355	1.022273667	0.649637333	1.087555667	0.009039333	0.012700667	0.005552	0.003789667	118.3333333	1.3045	0.616	16.9655	37.684	0.055	59.536	1.23	9.89	103.3	2.7	NA	NA
GL111_DN	GL111	Nepal	0	8.343	7.9	99.3	NA	821	7.572816	0	28.7789	83.9539	5110	28.78457	83.96045	5003	6308	5544	595	116	45	1.52	0.37	4.059321	NA	NA	20201101	20210409	0.008768333	NA	0.162358111	11.98060733	0.287311333	43.30881333	0.139455333	69.40095667	NA	16562739.97	4.53E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	2.1195	40.9745	131.444	0.1505	359.4805	1.65	94.57	47.28	1.29	NA	NA
GL114_DN	GL114	Nepal	2.6	8.244	7.52	99.2	NA	547	6.130794	0	28.7729	83.9963	4988	28.77479	83.99102	4864	6248	5635	257	235	315	2.34	0.66	3.523876	NA	NA	20201101	20210412	4.81E-05	NA	0.014609111	2.519870778	0.028583222	3.564350555	0.002321333	63.92832333	NA	2997884.427	3.53E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.894	0.133	5.063	13.8175	0.0245	31.8875	1.15	14.12	74.39	0.94	NA	NA
GL114_UP	GL114	Nepal	1.9	8.262	7.72	100.2	NA	593	4.300166	0	28.7729	83.9963	4988	28.77362	83.99507	4884	6248	5635	42	94	315	2.34	0.73	3.204314	NA	NA	20201101	20210412	4.47E-04	NA	0.011015889	3.078260667	0.018750333	8.260638999	0.005181667	60.71191167	NA	3369525.833	8.17E-05	0.479	0.430666667	0.057	1.245333333	1.747	0.004	0	0.001666667	16.73033333	0.827153	2.912017667	2.653637333	0.004572	0.010692667	0.005137667	0.003717	67.665	3.1465	0.8765	27.558	84.001	0.119	194.628	1.54	11.54	87.17	1.84	NA	NA
GL115_DN	GL115	Nepal	7.6	7.776	7.1	100.8	NA	25.8	2.784277	0	27.8311	86.8343	4622	27.84686	86.82095	4425	6382	5421	706	262	315	6.5	0.24	26.56523	NA	NA	20201113	20201113	0.237385111	NA	1.022615	6.930752889	2.244734111	21.51632222	1.614145333	NA	NA	2929913.571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.064	0.5255	0.761	3.4405	0.062	3.5645	5.77	10.11	83.35	0.73	NA	NA
GL115_UP	GL115	Nepal	0.7	7.6	8.28	99.3	NA	26.2	23.76585	0	27.8311	86.8343	4622	27.8352	86.82957	4528	6382	5421	681	104	315	6.5	0.28	23.54772	NA	NA	20201113	20201113	0.058140667	NA	0.392819333	1.988554444	1.255194444	13.13947578	0.706262889	NA	NA	3846171.319	NA	2.577	1.775333333	0.327	2.355	2.064666667	0.009333333	0.005666667	0.005666667	1.606333333	0.841095667	1.335777	1.867520333	0.030798667	0.046212333	0.030290333	0.022004333	286.89	1.2245	0.604	0.774	4.0435	0.0655	3.8045	0.98	26.07	148.69	1.46	NA	NA
GL116_DN	GL116	Nepal	2.3	7.848	7.82	100.4	NA	37.8	58.64414	0	27.9014	86.8792	4818	27.90361	86.8726	4732	7947	5585	1736	295	225	10.44	0.45	23.2138	NA	1	20201113	20210428	0.015900889	NA	0.206748222	1.482235667	6.907060665	12.51978334	0.154529778	NA	NA	1117557.911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7085	0.6435	0.753	6.888	0.032	2.5615	1.37	14.95	115.6	0.15	NA	NA
GL116_UP	GL116	Nepal	0.7	9.106	7.87	97	NA	35.1	67.8294	1	27.9014	86.8792	4818	27.90124	86.87882	4815	7947	5585	842	108	225	10.44	0.46	22.91007	NA	1	20201113	20210428	0.033912556	NA	0.059882778	0.54726	0.243140111	6.677700778	0.099477889	273.49715	NA	1025600.007	5.89E-05	3.354333333	2.203666667	0.729	2.66	2.158	0.010333333	0.006666667	0.007	1.517666667	1.072606	1.429391333	0.663457	0.027322667	0.029147333	0.019333667	0.011274	183.6666667	0.6275	0.5835	0.698	6.4655	0.032	1.988	1.01	13.02	112.02	1.17	NA	NA
GL117_DN	GL117	Nepal	1.1	8.177	7.39	95.7	NA	59.8	23.31622	0	27.9153	86.8665	4996	27.91094	86.86544	4966	7669	5582	2464	300	180	4.95	0.34	14.38407	NA	1	20201113	20210429	0.010294778	NA	0.015237889	0.219873778	0.039136	1.919513778	0.006623	231.0944483	NA	2515622.167	1.20E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7885	1.173	0.6745	9.9845	0.051	6.54	0.8	14.95	119.66	0.57	NA	NA
GL117_UP	GL117	Nepal	1.5	8.396	7.67	98.8	NA	59	20.87538	0	27.9153	86.8665	4996	27.9115	86.86557	4973	7669	5582	523	173	180	4.95	0.35	14.35736	NA	1	20201113	20210429	0.014553778	NA	0.129184889	0.893504445	0.092557111	17.027757	0.112488667	184.0167617	NA	1386918.954	4.58E-05	2.677	1.805666667	0.870666667	2.475666667	2.131	0.009666667	0.005666667	0.005666667	1.708666667	1.859257667	1.321837667	0.622803	0.037383667	0.024237667	0.022139	0.008390333	132.5566667	1.775	1.148	0.673	9.872	0.0475	6.537	0.97	12.96	115.24	4.95	NA	NA
