Row.names	sub_grp_6	d	p	c	o	f	g	s	
1	336R_concoct_107	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__BOG-234	s__
4	336R_concoct_189_sub	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-610	g__F1-120-MAGs023	s__
6	336R_concoct_229	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA9464	g__UBA6176	s__
7	336R_concoct_237	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
8	336R_concoct_238	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
10	336R_concoct_288_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__CAIVDV01	s__
11	336R_concoct_292_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Rariglobus	s__
14	336R_concoct_315	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
18	336R_metabat_261	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__Nakamurella sp014303395
21	336R_metabat_38	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__Palsa-1233	s__
22	336R_metabat_67	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
23	336R_metabinner_10	1	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__UBA11236	g__Chersky-265	s__
24	336R_metabinner_104	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Tous-C4FEB	s__
26	336R_metabinner_21	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
31	336R_metabinner_34	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
32	336R_metabinner_39	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
33	336R_metabinner_45_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__SXQI01	g__SXQI01	s__
35	336R_metabinner_51	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Didemnitutus	s__
37	336R_metabinner_68	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__UBA4661	g__PH2015	s__
40	337R_concoct_5_sub	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lysinibacter	s__
45	337R_metabinner_19	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__
47	337R_metabinner_31	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
51	338R_concoct_148	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
55	338R_concoct_206	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
60	338R_concoct_51_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
61	338R_concoct_65	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Ga0077553	s__
64	338R_metabat_123	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
71	338R_metabinner_42	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
74	339R_concoct_126_sub	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
75	339R_concoct_132_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
76	339R_concoct_170_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
78	339R_concoct_49	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
79	339R_concoct_57	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
81	339R_concoct_84_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
84	339R_metabinner_2	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__	s__
85	339R_metabinner_32	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
89	340R_metabat_103	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
94	341R_concoct_108	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
97	341R_concoct_52	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
104	GFS_10002	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__JAAYBP01	g__Aquihabitans	s__
105	GFS_10004	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
106	GFS_10006	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
110	GFS_10025	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
113	GFS_10036	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
117	GFS_10066	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
122	GFS_10128	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__JAAFHZ01	s__
123	GFS_10135	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
130	GFS_10167	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
