name	pMAG_diversity	pMAG_rich	3-HP 4-HB pathway	3-HP bi-cycle	Ammonia oxidation	Ass_Diss sulfate reduction	Assimilatory nitrate reduction	C1 metabolism/Methanogenesis	CO-Oxidation (C1 metabolism)	Calvin Cycle	Coenzyme M biosynthesis	Denitrification	Dissimilatory nitrate reduction	Dissimilatory nitrite reduction	Dissimilatory sulfate reduction	Formaldehyde assimilation	H2 oxidation	Methane oxidation	Nit_Denitr_Dissimil_nitrate_red	Nitrification	Nitrogen fixation	Reductive citrate cycle	Sulfite oxidation	Thiosulfate oxidation SOX	Urea metabolism	Wood-Ljungdahl pathway	Autotrophy	Heterotrophy	Heterotrophy_aerobic_respiration	Heterotrophy_anaerobic_respiration	Mixotrophy_Autotrophy-Phototrophy	Mixotrophy_Heterotrophy-Autotrophy	Mixotrophy_Heterotrophy-Phototrophy	Mixotrophy_Other	None	Biofilm formation - Escherichia coli	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Vibrio cholerae	Biotin Tranport	Biotin biosynthesis	Chemotaxis	Cobalamin biosynthesis	DMSP	Flagella	Pili	Quorum Sensing	Thiamine biosynthesis, prokaryotes	thiamine transporter	vitamin B12 transport	eMAG_diversity	eMAG_rich	algMAG_diversity	algMAG_rich	vMAG_diversity	vMAG_rich	site_c	water_temp_c	ph_p_h	do_mg_l_1	do_sat_saturation	conductivity_u_s_cm_1	turb_ntu	lat_sn_dd	lon_sn_dd	ele_sn_m	max_el_m	mean_el_m	sn_sp_dist_m	sn_sp_ele_m	gl_sa_km2	gl_cov_percent	gl_a_km2	chla_ug_g_1	n3_srp_ug_l_1	n4_nh4_ug_l_1	n5_no3_ug_l_1	n6_no2_ug_l_1	sba_cells_g_1
GL100_DN	4.754850961	189	0.222872052	0.027393591	0.002252844	0.034043728	0.022024144	0.065107449	0.127003156	0.024457234	0.003811897	0.017573499	0.012519291	0.029397664	0.001667072	0.029235186	7.64E-04	1.07E-04	0.044158038	0.010774851	0.002047845	0.120653833	0.012498013	0.066105238	0.119157031	7.34E-04	0.006642026	0.047800549	0.238135127	6.17E-05	0.024265534	0.566521925	0.025315855	0.077651307	0.013605938	0.117304395	0.182161674	0.197437412	9.54E-04	0.015934615	0.144875274	0.03161205	0.020208435	0.209459964	0.022034508	1.41E-02	0.049365492	0.004535757	0.003976114	2.127294817	15	2.702829379	24	5.239874368	1045	Alps	0.810930216	2.292534757	2.636912173	4.971201225	5.430222437	2.7631695	44.8836	6.2926	7.85107735	8.22724188	8.058960018	5.818598149	4.686750173	0.21913553	-1.272965676	1.605429891	-5.198865231	0.654925968	2.292534757	5.178068794	-0.077961541	15.79507429
GL100_UP	4.935831599	254	0.191170567	0.019340734	0.006979144	0.034593471	0.016436873	0.064824763	0.129665471	0.016580031	0.006071855	0.019688932	0.01844235	0.03604745	0.007977991	0.029027397	0.002724136	8.72E-04	0.065447371	0.010879492	2.19E-04	0.118117244	0.012767658	0.072129068	0.113445409	0.003687823	0.011288127	0.045964645	0.191117291	7.02E-04	0.010636784	0.64600596	0.018335406	0.042076319	0.033873909	0.122177037	0.187925361	0.22426319	9.74E-04	0.019005053	0.117958569	0.033672772	0.018134091	0.200063949	0.018331096	6.32E-03	0.049555058	0.004654056	0.003222681	2.346381764	14	2.87109392	23	5.62726311	1313	Alps	0.223143551	2.290512512	2.651127054	4.97397131	5.473110657	2.402430428	44.8836	6.2926	7.85107735	8.22724188	8.058643712	4.620058798	3.725693427	0.202940844	-1.203972804	1.499623046	-6.183785532	0.710495819	2.608598122	5.109877129	-0.192371893	16.20155634
GL102_DN	5.180482873	257	0.22668298	0.024726285	0.002932769	0.037967117	0.020345501	0.078876167	0.123338838	0.017401582	0.006506629	0.015728887	0.011358391	0.033843988	0.002250221	0.031099472	0.001398706	3.53E-04	0.044912583	0.010364045	0.001936534	0.115145187	0.011647706	0.07004256	0.106115136	0.001426037	0.009311846	0.053992005	0.251182548	0.001079218	0.020377929	0.528539911	0.040868328	0.066265808	0.028382408	0.123463112	0.170159682	0.210234772	0.001634893	0.021260485	0.130768634	0.032236805	0.020020067	0.207459696	0.01710116	1.86E-02	0.054918333	0.007478909	0.003077807	2.269805196	20	2.859115588	27	5.858206852	1414	Alps	1.373715579	2.284421122	2.636912173	4.97742316	4.635699391	NA	44.9356	6.3184	7.889646468	8.374592223	8.053251154	7.385541049	6.334167333	0.675492245	-1.427116356	2.247072383	-3.063719829	0.744315467	2.561867691	5.311332304	-0.204567166	16.61492828
GL103_DN	5.149609646	255	0.209638039	0.02167725	0.004891075	0.039442071	0.020468913	0.058903757	0.127701926	0.010871168	0.008322731	0.023570537	0.014777848	0.027287814	0.003779359	0.03077498	8.50E-04	4.02E-04	0.045202181	0.010736046	0.001127311	0.135541196	0.013156118	0.071482482	0.113301977	0.002001045	0.007405418	0.07088823	0.23077005	0.001510843	0.01233899	0.548200539	0.018098514	0.063602282	0.047185134	0.123007246	0.183357784	0.222004171	0.001061309	0.020809286	0.126626152	0.02970606	0.016743565	0.197262751	0.019391916	1.96E-02	0.050932771	0.006226068	0.002674752	2.222094789	18	2.699439928	25	5.859766957	1384	Nepal	1.731655545	2.303584593	2.422144328	4.983606622	4.379523504	2.12517191	28.2307	85.5628	8.36485753	8.933730113	8.640118538	7.357875028	3.417726684	1.709283247	-1.139434283	2.930602644	-2.858016005	-0.122167634	2.756205243	5.54322241	1.586169285	14.47169761
GL103_UP	5.148820877	249	0.211201177	0.021802844	0.005701702	0.037950141	0.019000287	0.060376521	0.132583822	0.010568626	0.006653062	0.023938456	0.015275972	0.028668087	0.003469093	0.028916676	8.86E-04	4.85E-04	0.049464787	0.010742315	0.001090898	0.131527193	0.0127156	0.066946011	0.11434651	0.002622194	0.008516022	0.069496167	0.21161519	0.002407034	0.010742901	0.55292002	0.024097156	0.077940527	0.042264983	0.119787639	0.188790514	0.218091762	0.001757711	0.021045971	0.134176847	0.033512001	0.016882306	0.184068724	0.021009158	1.06E-02	0.051210537	0.006654755	0.002905863	2.260063505	19	2.731544745	25	5.691237264	1372	Nepal	-1.386294361	2.302585093	2.503073954	4.96284463	4.458987676	2.085672091	28.2307	85.5628	8.36485753	8.933730113	8.640118538	6.069582326	1.252762968	1.709283247	-0.994252273	2.792468001	-2.742273437	-0.378336441	2.668616132	5.54463042	1.404870747	14.24260271
GL104_DN	5.091897551	246	0.215266313	0.023299887	0.004875866	0.041733557	0.018511273	0.063124838	0.116133279	0.013272409	0.009720101	0.025982473	0.014983211	0.025317909	0.006056026	0.033317478	6.74E-04	3.37E-04	0.04254177	0.010426797	7.79E-04	0.131796541	0.014247819	0.084177112	0.098853747	0.001816175	0.008625076	0.074664978	0.189062027	8.08E-04	0.008839765	0.622845263	0.017319352	0.050282755	0.027552983	0.126111766	0.195605108	0.22699297	8.36E-04	0.02061718	0.127992471	0.027001482	0.019258522	0.178236693	0.020026208	9.42E-03	0.047690596	0.006492293	0.003044789	2.257224536	17	2.581951886	19	5.65526962	1081	Nepal	1.238374231	2.28289246	2.447550863	4.983606622	3.867025639	3.901503266	28.2357	85.5772	8.452227913	8.808742775	8.686598356	6.849596365	3.624340933	1.380024748	-0.356674944	1.782798943	-3.89382598	-0.110931561	3.689129423	4.762772046	-0.378336441	15.47269043
GL104_UP	5.02267032	256	0.199045844	0.02297352	0.006215255	0.040983195	0.019962246	0.080110017	0.125758194	0.014249869	0.007281018	0.029394579	0.014610122	0.029837538	0.00474358	0.037215443	0.002102655	6.00E-04	0.043415724	0.008385624	1.84E-04	0.128657871	0.011935656	0.072043463	0.095324404	0.001938026	0.009998533	0.071302014	0.253980092	7.92E-04	0.009033937	0.575598346	0.013195779	0.040093523	0.026006172	0.124324615	0.187202878	0.214033275	7.51E-04	0.021317468	0.13818582	0.026388541	0.016337155	0.196420906	0.016779135	1.34E-02	0.04931014	0.006603858	0.002211367	2.344982445	12	2.291834337	12	5.621422083	893	Nepal	-2.995732274	2.319245534	2.486571929	4.974662634	3.912023005	3.875861592	28.2357	85.5772	8.452227913	8.808742775	8.686598356	4.639571613	1.704748092	1.380024748	-0.342490309	1.762295128	-5.08309051	0.685618914	2.643333886	4.878246106	0.922272804	14.63000849
GL106_DN	4.873023778	206	0.231419196	0.026072081	0.001663957	0.050541869	0.02579353	0.072279954	0.10762382	0.011432688	0.00715224	0.020091559	0.012395108	0.031856961	0.009082212	0.026344474	0.003708347	2.11E-04	0.050091158	0.009181745	0.001923252	0.111385718	0.01374432	0.073041068	0.097800944	0.001132085	0.018936708	0.038131872	0.27384644	4.92E-04	0.011483483	0.476101761	0.041880532	0.071628143	0.067499266	0.121785166	0.178444677	0.213317771	0.004202142	0.019089102	0.133214523	0.042197022	0.013132308	0.191688966	0.015587405	0.110088162	0.05241179	0.010444337	0.003383909	2.342031872	27	2.498191758	33	5.625867259	1316	Nepal	1.398716881	2.285642372	2.439734931	4.991112628	4.644390899	2.859730403	28.1922	85.6979	8.468107984	8.898433911	8.655562861	6.397762642	4.363098625	3.058941787	-0.891598119	4.015845038	-2.394903308	0.081579987	2.673458756	3.85672169	1.0595249	14.22945597
GL106_UP	4.903059699	234	0.21521947	0.027406487	0.001592719	0.050695153	0.020014441	0.083050547	0.104252155	0.010900749	0.006589543	0.018904498	0.016804778	0.028812293	0.012334296	0.028428946	0.004287656	2.71E-04	0.073045291	0.007365535	1.83E-04	0.11941109	0.012425229	0.060990102	0.092251413	0.00156655	0.013237903	0.050230529	0.243094575	8.31E-04	0.016928353	0.53223121	0.029368246	0.054919742	0.059158048	0.11867402	0.172752986	0.199142579	0.004087309	0.021355864	0.13749288	0.035704434	0.01417175	0.214779657	0.012368034	7.72E-02	0.056989981	0.009031126	0.002677749	2.163872866	22	2.484702771	21	5.625550671	1125	Nepal	-0.430782916	2.276241118	2.486571929	4.983606622	4.663439094	2.96774578	28.1922	85.6979	8.468107984	8.898433911	8.655562861	4.102643365	2.351375257	3.058941787	-0.820980552	3.949814621	-5.32000771	0.242946179	3.192121088	3.46260601	0.821980052	14.14999918
GL109_DN	4.762211508	201	0.182816248	0.026932258	0.002397294	0.042437016	0.015394389	0.072081028	0.127938505	0.019653646	0.004845452	0.014697916	0.023475854	0.027189814	0.022948342	0.030045133	0.001160664	3.32E-04	0.079452692	0.010202012	0.001031962	0.111682745	0.010233059	0.065163554	0.102526069	0.002268617	0.011524495	0.056195107	0.152204397	7.68E-04	0.008610444	0.642918553	0.017541113	0.090075467	0.02016244	0.123920925	0.186338836	0.225207914	0.001405131	0.014465922	0.12398983	0.035603386	0.018388962	0.191170506	0.02249263	1.95E-02	0.048076327	0.005385132	0.003359013	1.723788365	7	2.42174793	14	5.268369149	838	Nepal	1.638996715	2.352517462	2.46894663	4.97535348	5.772063982	2.70482835	28.6391	84.0433	8.311521121	8.853593997	8.540519017	6.207583483	4.460144414	0.227135573	-1.46967597	1.82140419	-7.466284158	0.54522705	2.349468679	4.722152901	0.786182047	13.68627221
