name	pMAG_diversity	pMAG_rich	3-HP 4-HB pathway	3-HP bi-cycle	Ammonia oxidation	Ass_Diss sulfate reduction	Assimilatory nitrate reduction	C1 metabolism/Methanogenesis	CO-Oxidation (C1 metabolism)	Calvin Cycle	Coenzyme M biosynthesis	Denitrification	Dissimilatory nitrate reduction	Dissimilatory nitrite reduction	Dissimilatory sulfate reduction	Formaldehyde assimilation	H2 oxidation	H2 oxidation/methene metabolism	Methane oxidation	Methanogenesis	Nit_Denitr_Dissimil_nitrate_red	Nitrification	Nitrogen fixation	Reductive citrate cycle	Sulfite oxidation	Thiosulfate oxidation SOX	Urea metabolism	Wood-Ljungdahl pathway	Autotrophy	Heterotrophy	Heterotrophy_aerobic_respiration	Heterotrophy_anaerobic_respiration	Heterotrophy_fermentation	Mixotrophy_Autotrophy-Phototrophy	Mixotrophy_Heterotrophy-Autotrophy	Mixotrophy_Heterotrophy-Phototrophy	Mixotrophy_Other	None	Phototrophy	Biofilm formation - Escherichia coli	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Vibrio cholerae	Biotin Tranport	Biotin biosynthesis	Chemotaxis	Cobalamin biosynthesis	DMSP	Flagella	Pili	Quorum Sensing	Thiamine biosynthesis, prokaryotes	thiamine transporter	vitamin B12 transport	eMAG_diversity	eMAG_rich	algMAG_diversity	algMAG_rich	vMAG_diversity	vMAG_rich	site_c	water_temp_c	ph_p_h	do_mg_l_1	do_sat_saturation	conductivity_u_s_cm_1	turb_ntu	lat_sn_dd	lon_sn_dd	ele_sn_m	max_el_m	mean_el_m	sn_sp_dist_m	sn_sp_ele_m	gl_sa_km2	gl_cov_percent	gl_a_km2	chla_ug_g_1	n3_srp_ug_l_1	n4_nh4_ug_l_1	n5_no3_ug_l_1	n6_no2_ug_l_1	sba_cells_g_1
GL100_DN	5.258762431	546	0.200333741	0.021876937	0.006172101	0.045208986	0.031410777	0.086712015	0.112291123	0.035268981	0.010992711	0.024377607	0.007075601	0.04001861	0.004411479	0.03577918	4.49E-04	0	5.83E-04	0	0.030141532	0.009553749	9.88E-04	0.104482222	0.010741994	0.072801753	0.102513177	0.002226343	0.014410123	0.063544129	0.257434144	0.001539336	0.001328901	0.014528084	0.51909145	0.036932726	0.050149008	0.040915826	1.26E-04	0.121918646	0.178623319	0.217025277	0.001614948	0.02589348	0.140477388	0.034485289	0.010645796	0.186514239	0.023815883	8.39E-03	0.051216408	0.005293856	0.002391522	2.127294817	15	2.702829379	24	5.239874368	1045	Alps	0.810930216	2.292534757	2.636912173	4.971201225	5.430222437	2.7631695	44.8836	6.2926	7.85107735	8.22724188	8.058960018	5.818598149	4.686750173	0.21913553	-1.272965676	1.605429891	-5.198865231	0.654925968	2.292534757	5.178068794	-0.077961541	15.79507429
GL100_UP	4.873658383	379	0.201760012	0.014599061	0.012279389	0.048396877	0.020701017	0.096242252	0.084700027	0.029355801	0.009281954	0.023711789	0.012867296	0.030807616	0.007276935	0.029769352	5.71E-04	0	3.38E-04	0	0.045622558	0.009277284	7.70E-04	0.123452693	0.00963334	0.075418487	0.108353296	0.002134547	0.038720424	0.03988708	0.189735507	0.007029577	0.003164534	0.013886518	0.597288107	0.02774497	0.03692729	0.045553282	6.27E-05	0.119601753	0.193289749	0.228498122	9.14E-04	0.023995456	0.134790902	0.030097955	0.017237508	0.17368662	0.020719448	4.87E-03	0.047697726	0.00520499	0.004217397	2.346381764	14	2.87109392	23	5.62726311	1313	Alps	0.223143551	2.290512512	2.651127054	4.97397131	5.473110657	2.402430428	44.8836	6.2926	7.85107735	8.22724188	8.058643712	4.620058798	3.725693427	0.202940844	-1.203972804	1.499623046	-6.183785532	0.710495819	2.608598122	5.109877129	-0.192371893	16.20155634
GL102_DN	4.708851663	427	0.276695609	0.025026043	0.003725941	0.053171943	0.026599089	0.10149875	0.091281829	0.021963995	0.005213381	0.016103574	0.006210618	0.029645604	4.65E-04	0.03550007	3.25E-04	0	1.46E-04	0	0.014200823	0.00640678	0.00107703	0.104477222	0.014910532	0.075626507	0.083221805	9.33E-04	0.020897219	0.047031827	0.277139026	0.002514768	0.002828447	0.013192043	0.327956562	0.122120829	0.024185489	0.162109019	2.48E-05	0.121257748	0.17443911	0.228462253	9.46E-04	0.029903132	0.097977198	0.040318806	0.020436846	0.195895773	0.025106298	8.97E-03	0.050730588	0.009406119	0.00503041	2.269805196	20	2.859115588	27	5.858206852	1414	Alps	1.373715579	2.284421122	2.636912173	4.97742316	4.635699391	NA	44.9356	6.3184	7.889646468	8.374592223	8.053251154	7.385541049	6.334167333	0.675492245	-1.427116356	2.247072383	-3.063719829	0.744315467	2.561867691	5.311332304	-0.204567166	16.61492828
GL103_DN	5.388247149	524	0.250536552	0.01858954	0.009192425	0.04951736	0.023469182	0.076667282	0.105348953	0.018716918	0.012709726	0.023242043	0.008479525	0.023551187	5.54E-04	0.036304185	9.91E-04	0	7.57E-05	0	0.030765458	0.007940167	0.001644245	0.13698089	0.010103276	0.055114383	0.095680352	0.0017231	0.024210835	0.092134426	0.292137008	0.002932262	0.004777621	0.049772808	0.352467874	0.032047111	0.06086907	0.088607065	4.39E-05	0.1201669	0.187294445	0.215581168	0.002219544	0.021899655	0.128245116	0.037652386	0.017736998	0.182914703	0.024164598	3.57E-02	0.048411811	0.010681727	0.002673671	2.222094789	18	2.699439928	25	5.859766957	1384	Nepal	1.731655545	2.303584593	2.422144328	4.983606622	4.379523504	2.12517191	28.2307	85.5628	8.36485753	8.933730113	8.640118538	7.357875028	3.417726684	1.709283247	-1.139434283	2.930602644	-2.858016005	-0.122167634	2.756205243	5.54322241	1.586169285	14.47169761
GL103_UP	5.189933045	512	0.23652062	0.01318208	0.008811496	0.060839711	0.034366439	0.07348808	0.069307989	0.042472716	0.013545087	0.018310885	0.006729448	0.028333768	4.48E-04	0.037771169	0.005523862	0	5.34E-05	0	0.026893385	0.012025737	0.004976063	0.1311235	0.006829121	0.034685067	0.131262263	0.001101294	0.013815201	0.043982114	0.229052331	0.002150606	0.007159693	0.269478729	0.256573355	0.056715775	0.044499967	0.076540318	3.19E-05	0.11459094	0.227400499	0.186202544	0.003617561	0.030976129	0.123378114	0.04493373	0.014023682	0.148621241	0.044152804	1.40E-02	0.054322835	0.005740047	0.001899628	2.260063505	19	2.731544745	25	5.691237264	1372	Nepal	-1.386294361	2.302585093	2.503073954	4.96284463	4.458987676	2.085672091	28.2307	85.5628	8.36485753	8.933730113	8.640118538	6.069582326	1.252762968	1.709283247	-0.994252273	2.792468001	-2.742273437	-0.378336441	2.668616132	5.54463042	1.404870747	14.24260271
GL104_DN	5.112927301	482	0.227915215	0.014716485	0.013923865	0.04594373	0.022864693	0.083019223	0.11829836	0.021972878	0.011692688	0.025470104	0.012679617	0.025596237	6.02E-04	0.033603263	8.35E-04	0	4.44E-05	0	0.0358465	0.00788571	7.75E-04	0.130649529	0.011490991	0.055528903	0.093146614	0.002310055	0.021184961	0.081922725	0.237446733	0.005009993	0.002086995	0.038363388	0.445613047	0.033309071	0.082227624	0.052790828	4.46E-05	0.125607637	0.200197377	0.20512021	0.002007904	0.018835631	0.131962085	0.036639691	0.017755814	0.178106739	0.025644905	3.79E-02	0.043173678	0.011319947	0.003249408	2.257224536	17	2.581951886	19	5.65526962	1081	Nepal	1.238374231	2.28289246	2.447550863	4.983606622	3.867025639	3.901503266	28.2357	85.5772	8.452227913	8.808742775	8.686598356	6.849596365	3.624340933	1.380024748	-0.356674944	1.782798943	-3.89382598	-0.110931561	3.689129423	4.762772046	-0.378336441	15.47269043
GL104_UP	4.673983247	459	0.203534386	0.019967619	0.016672968	0.044233665	0.020805142	0.099015	0.107639496	0.025195986	0.011666594	0.024449425	0.01267861	0.022769127	6.62E-04	0.031294734	3.54E-04	0	7.92E-05	0	0.038637382	0.010145837	3.39E-04	0.10877189	0.015799236	0.074084693	0.103549876	0.002063357	0.016017916	0.08085287	0.179305639	0.007922029	8.79E-04	0.016533816	0.528099928	0.015877191	0.111945736	0.042512376	5.32E-05	0.123164914	0.209025082	0.202910048	0.001266654	0.017320668	0.126172364	0.031559598	0.014238058	0.197790202	0.02391333	1.14E-02	0.037115091	0.0110577	0.004352021	2.344982445	12	2.291834337	12	5.621422083	893	Nepal	-2.995732274	2.319245534	2.486571929	4.974662634	3.912023005	3.875861592	28.2357	85.5772	8.452227913	8.808742775	8.686598356	4.639571613	1.704748092	1.380024748	-0.342490309	1.762295128	-5.08309051	0.685618914	2.643333886	4.878246106	0.922272804	14.63000849
GL106_DN	5.013890349	425	0.353708739	0.017482837	0.002412389	0.058757173	0.017449896	0.07627144	0.047392232	0.01374274	0.010618893	0.016381793	0.006538001	0.02288504	0.00475477	0.040710863	1.38E-04	0	5.93E-06	0	0.008054699	0.006505363	0.002730527	0.133347878	0.015872602	0.072223494	0.07058407	3.24E-04	0.028191236	0.0360199	0.419685004	0.00166651	0.011019295	0.012002513	0.246826395	0.026167371	0.029616673	0.188794586	1.05E-05	0.120276289	0.167795139	0.256704022	9.44E-04	0.02805054	0.108603701	0.046652911	0.021733936	0.161781153	0.019687024	1.18E-02	0.053332473	0.010526713	0.003794551	2.342031872	27	2.498191758	33	5.625867259	1316	Nepal	1.398716881	2.285642372	2.439734931	4.991112628	4.644390899	2.859730403	28.1922	85.6979	8.468107984	8.898433911	8.655562861	6.397762642	4.363098625	3.058941787	-0.891598119	4.015845038	-2.394903308	0.081579987	2.673458756	3.85672169	1.0595249	14.22945597
GL106_UP	4.660823766	406	0.27585782	0.016157442	0.003499571	0.052727873	0.020600077	0.106735951	0.057061029	0.016306477	0.020543018	0.029212249	0.00447893	0.030364532	0.008806602	0.042439968	1.03E-04	0	1.22E-05	0	0.014967679	0.004059278	9.58E-04	0.15991845	0.013985376	0.066999076	0.052926109	6.06E-04	0.045316025	0.028068853	0.407067324	0.003883458	0.00198587	0.006885859	0.317550807	0.015795243	0.017716716	0.15570211	2.77E-05	0.127813003	0.154595488	0.234494459	5.19E-04	0.025565657	0.118157465	0.035930798	0.017708857	0.204980353	0.019723594	4.66E-02	0.051103002	0.006757824	0.002184887	2.163872866	22	2.484702771	21	5.625550671	1125	Nepal	-0.430782916	2.276241118	2.486571929	4.983606622	4.663439094	2.96774578	28.1922	85.6979	8.468107984	8.898433911	8.655562861	4.102643365	2.351375257	3.058941787	-0.820980552	3.949814621	-5.32000771	0.242946179	3.192121088	3.46260601	0.821980052	14.14999918
GL109_DN	4.096609263	278	0.227928938	0.018635703	0.00377917	0.051072253	0.017800698	0.093373244	0.126653133	0.032219323	0.005783255	0.015539267	0.009467071	0.025974533	0.011514071	0.029290939	8.43E-05	0	4.47E-05	0	0.017786726	0.005623029	0.001797748	0.123396838	0.016503317	0.091047093	0.069234571	8.28E-04	0.027579801	0.036244832	0.211251409	0.016753576	9.30E-04	0.010620475	0.578327387	0.070511031	0.01453491	0.033224615	2.17E-05	0.137038741	0.187312866	0.241087448	0.00126252	0.018210771	0.095796528	0.037447183	0.020784569	0.179171875	0.023596566	2.67E-03	0.038995142	0.015516635	0.003752438	1.723788365	7	2.42174793	14	5.268369149	838	Nepal	1.638996715	2.352517462	2.46894663	4.97535348	5.772063982	2.70482835	28.6391	84.0433	8.311521121	8.853593997	8.540519017	6.207583483	4.460144414	0.227135573	-1.46967597	1.82140419	-7.466284158	0.54522705	2.349468679	4.722152901	0.786182047	13.68627221
