observed	mean.simulated	lowCI	uppCI	sign	MAGs
11.15435394	16.09918105	10.64130118	21.3686276	NON SIGNIFICANT	336R_concoct_107
1.962030011	8.458199325	5.044189114	12.37566988	SPECIALIST	336R_concoct_137
1.634568497	8.703540551	5.181261557	12.57545423	SPECIALIST	336R_concoct_171_sub
1.579827153	11.05108785	6.640894406	15.84259546	SPECIALIST	336R_concoct_189_sub
4.593137117	11.36817491	7.279732028	15.99438966	SPECIALIST	336R_concoct_227_sub
2.898766538	9.412237908	5.839079803	13.32651267	SPECIALIST	336R_concoct_229
20.96043999	19.92192905	14.30912936	26.22927468	NON SIGNIFICANT	336R_concoct_237
8.583778315	13.61491615	8.932281585	18.64719334	SPECIALIST	336R_concoct_238
1.071084353	7.725510909	4.362260589	11.41188009	SPECIALIST	336R_concoct_272_sub
1.583051531	8.170274525	4.615814708	11.70051835	SPECIALIST	336R_concoct_288_sub
4.77681239	12.57832264	8.235648422	17.44944093	SPECIALIST	336R_concoct_292_sub
7.876645462	15.66978594	10.32479508	20.94817846	SPECIALIST	336R_concoct_308_sub
1.763193283	8.089975595	4.496153227	11.86962707	SPECIALIST	336R_concoct_310_sub
2.804255377	13.08229738	8.261306206	17.64697712	SPECIALIST	336R_concoct_315
1.873905997	12.45617876	7.934992962	17.04187675	SPECIALIST	336R_concoct_63
1.478753365	16.31978206	10.81038147	21.79319533	SPECIALIST	336R_concoct_84_sub
1.998871742	7.543286938	4.180553252	11.09217388	SPECIALIST	336R_metabat_250_sub
4.086790148	14.58459311	9.553961715	19.66308	SPECIALIST	336R_metabat_261
1	6.209024686	3.231257913	9.219294382	SPECIALIST	336R_metabat_264
50.12290972	19.2023086	13.68569245	25.45638603	GENERALIST	336R_metabat_339_sub
4.778110196	19.14622068	13.45371979	24.73488499	SPECIALIST	336R_metabat_38
1	6.96668718	4.02968888	10.23890269	SPECIALIST	336R_metabat_67
1	6.234307394	3.463375737	9.449931413	SPECIALIST	336R_metabinner_10
