MAGs	TrophicState
336R_concoct_107	Mixotrophy_Heterotrophy-Autotrophy
336R_concoct_137	Heterotrophy_fermentation
336R_concoct_171_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_concoct_189_sub	Heterotrophy
336R_concoct_227_sub	Mixotrophy_Other
336R_concoct_229	Heterotrophy_aerobic_respiration
336R_concoct_237	Heterotrophy
336R_concoct_238	Heterotrophy
336R_concoct_272_sub	Heterotrophy
336R_concoct_288_sub	Heterotrophy_aerobic_respiration
336R_concoct_292_sub	Heterotrophy_aerobic_respiration
336R_concoct_308_sub	Heterotrophy_aerobic_respiration
336R_concoct_310_sub	None
336R_concoct_315	Heterotrophy
336R_concoct_63	Autotrophy
336R_concoct_84_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabat_250_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabat_261	Mixotrophy_Heterotrophy-Autotrophy
336R_metabat_264	Heterotrophy_aerobic_respiration
336R_metabat_339_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabat_38	Mixotrophy_Heterotrophy-Autotrophy
336R_metabat_67	Heterotrophy_aerobic_respiration
336R_metabinner_10	Heterotrophy_aerobic_respiration
336R_metabinner_104	None
336R_metabinner_177_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_21	None
336R_metabinner_23	Heterotrophy_aerobic_respiration
336R_metabinner_25	Heterotrophy
336R_metabinner_28	Heterotrophy_aerobic_respiration
336R_metabinner_29_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_34	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_39	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_45_sub	None
336R_metabinner_49	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_51	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_61	Heterotrophy_aerobic_respiration
336R_metabinner_68	Heterotrophy_aerobic_respiration
336R_metabinner_76_sub	Mixotrophy_Heterotrophy-Autotrophy
336R_metabinner_8	Mixotrophy_Heterotrophy-Autotrophy
337R_concoct_5_sub	Heterotrophy
337R_metabat_172	Heterotrophy
337R_metabinner_1	Mixotrophy_Heterotrophy-Autotrophy
337R_metabinner_13	Heterotrophy_aerobic_respiration
337R_metabinner_14	Mixotrophy_Heterotrophy-Autotrophy
337R_metabinner_19	Heterotrophy
337R_metabinner_26_sub	Heterotrophy_aerobic_respiration
337R_metabinner_31	Heterotrophy_aerobic_respiration
