signal	protein	character
HSLs	LuxI	Synthesis
HSLs	LuxM	Synthesis
HSLs	HdtS	Synthesis
HSLs	Lactonase	Degradation
HSLs	Acylase	Degradation
HSLs	LuxR	Acceptation
HSLs	LuxN	Acceptation
AI-2	LsrA	Transport
AI-2	LsrC	Transport
AI-2	LsrD	Transport
AI-2	LsrG	Transport
AI-2	LsrK	Transport
AI-2	LsrR	Transport
AI-2	LuxQ	Transport
AI-2	LuxS	Synthesis
AI-2	LsrB	Acceptation
AI-2	LuxP	Acceptation
AI-2	dCACHE	Acceptation
DSF	RpfG	Transport
DSF	RpfF	Synthesis
DSF	RpfB	Degradation
DSF	RpfC	Acceptation
AHKs	CqsA	Synthesis
AHKs	CqsS	Acceptation
c-di-GMP	DGC	Synthesis
c-di-GMP	PDE	Degradation
c-di-GMP	Clp	Acceptation
PQS	PqsH	Synthesis
PQS	PqsD	Synthesis
PQS	PhnB	Synthesis
PQS	PhnA	Synthesis
PQS	PqsA	Synthesis
PQS	PqsB	Synthesis
PQS	PqsC	Synthesis
PQS	PqsE	Synthesis
PQS	PqsL	Synthesis
PQS	AqdC	Degradation
PQS	PqsR	Acceptation
