MAGs	Completeness	Contamination	sum_len	LengthNorm	LengthNorm2
336R_concoct_107	98.73	0.17	3715630	3757027.6805428946	3763425.503899524
336R_concoct_137	96.51	0.92	2869517	2945930.415086519	2973284.6337167127
336R_concoct_171_sub	88.89	0.51	3902628	4368010.571717854	4390401.61997975
336R_concoct_189_sub	84.78	0.33	3331305	3916385.5785562634	3929352.441613588
336R_concoct_227_sub	79.35	3.64	3754821	4559729.698298677	4731973.534971645
336R_concoct_229	89.76	0.97	5864193	6469819.884024064	6533191.844919786
336R_concoct_237	85.87	2.27	4274276	4864620.862699429	4977612.670315593
336R_concoct_238	73.08	0.65	3414929	4642490.368773947	4672863.98467433
336R_concoct_272_sub	100	0.5	4102695	4082181.525	4102695
336R_concoct_288_sub	85.71	1.16	3944620	4548900.25434605	4602286.781005717
336R_concoct_292_sub	82.82	8.43	2953924	3266008.460275296	3566679.5460033813
336R_concoct_308_sub	70.88	0.51	3319603	4659527.40505079	4683412.810383747
336R_concoct_310_sub	76.09	2.05	2434454	3133851.613878302	3199440.136680247
336R_concoct_315	71.25	2.87	4295257	5855414.911017545	6028430.8771929825
336R_concoct_63	84.03	1.22	2559917	3009265.753421397	3046432.226585743
336R_concoct_84_sub	82.78	2.81	3639439	4272977.487436579	4396519.690746557
336R_metabat_250_sub	77.07	0.49	2573896	3323321.5383417676	3339685.9997404963
336R_metabat_261	99.99	0.77	5114659	5075783.704070408	5115170.517051706
336R_metabat_264	94.25	0.29	2515642	2661375.743448276	2669116.180371353
336R_metabat_339_sub	72.11	0.89	3819085	5249057.1952572465	5296193.315767578
336R_metabat_38	99.32	0.33	2719957	2729542.0276882807	2738579.339508659
336R_metabat_67	98.33	0.62	4082280	4125871.9251500047	4151611.919048103
336R_metabinner_10	96.99	1.91	4913458	4969183.3716878025	5065942.880709351
336R_metabinner_104	75.48	3.37	3372099	4316983.656200318	4467539.745627981
336R_metabinner_177_sub	73.83	2.57	3253224	4293127.648923202	4406371.393742382
