## Thu Aug  8 11:06:32 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_gus_hlw4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
GFS_11005_182_1	368407.Memar_1101	5.29e-30	109.0	COG2026@1|root,arCOG01665@2157|Archaea,2XZ98@28890|Euryarchaeota	28890|Euryarchaeota	K	PFAM plasmid stabilization system	-	-	-	-	-	-	-	-	-	-	-	-	ParE_toxin
GFS_11005_182_2	269797.Mbar_A2410	2.11e-294	833.0	COG0550@1|root,arCOG01527@2157|Archaea,arCOG06233@2157|Archaea,2XU6T@28890|Euryarchaeota,2N96B@224756|Methanomicrobia	224756|Methanomicrobia	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	HHH_5,Topoisom_bac,Toprim,zf-C4_Topoisom
GFS_11005_182_3	192952.MM_1244	1.43e-202	573.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
GFS_11005_182_4	192952.MM_1243	2.39e-43	148.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
GFS_11005_182_5	1094980.Mpsy_0829	1.69e-110	325.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
GFS_11005_182_6	1041930.Mtc_0908	2.61e-246	691.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
GFS_3223_91_1	351160.RCIX1184	2.8e-166	479.0	COG1222@1|root,arCOG01306@2157|Archaea,2XTB6@28890|Euryarchaeota,2N947@224756|Methanomicrobia	224756|Methanomicrobia	O	TIGRFAM 26S proteasome subunit P45 family	pan-1	-	-	ko:K03420	ko03050,map03050	M00343	-	-	ko00000,ko00001,ko00002,ko03051	-	-	-	AAA
GFS_3223_91_2	224325.AF_1395	4.09e-63	204.0	COG0237@1|root,arCOG01045@2157|Archaea,2XWNJ@28890|Euryarchaeota,245NW@183980|Archaeoglobi	183980|Archaeoglobi	H	Belongs to the UPF0200 family	-	-	-	-	-	-	-	-	-	-	-	-	AAA_17,RNA_binding
GFS_3223_91_3	351160.RCIX710	2.09e-28	113.0	COG0237@1|root,arCOG01045@2157|Archaea,2XWNJ@28890|Euryarchaeota,2N9RC@224756|Methanomicrobia	224756|Methanomicrobia	H	adenyl ribonucleotide binding	-	-	-	-	-	-	-	-	-	-	-	iAF692.Mbar_A0975	AAA_17,RNA_binding
GFS_3223_91_4	589924.Ferp_1392	3.33e-48	169.0	COG1138@1|root,arCOG00268@2157|Archaea	2157|Archaea	O	PFAM Cytochrome c assembly protein	-	-	-	ko:K02198	-	-	-	-	ko00000,ko02000	9.B.14.1	-	-	Cytochrom_C_asm
GFS_3223_91_6	1041930.Mtc_0169	7.66e-104	308.0	COG2140@1|root,arCOG02602@2157|Archaea,2XWS8@28890|Euryarchaeota,2N9IM@224756|Methanomicrobia	224756|Methanomicrobia	G	PFAM Glucose-6-phosphate isomerase	gpi	-	5.3.1.9	ko:K06859	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200	M00001,M00004,M00114	R02739,R02740,R03321	RC00376,RC00563	ko00000,ko00001,ko00002,ko01000	-	-	-	GPI
GFS_3223_91_8	192952.MM_1244	8.32e-190	541.0	COG4054@1|root,arCOG04860@2157|Archaea,2XTPD@28890|Euryarchaeota,2N9BX@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase, beta subunit	mcrB	-	2.8.4.1	ko:K00401	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_beta,MCR_beta_N
GFS_3223_91_9	192952.MM_1243	7.85e-41	142.0	COG4055@1|root,arCOG04859@2157|Archaea,2XZ5V@28890|Euryarchaeota,2NBJT@224756|Methanomicrobia	224756|Methanomicrobia	H	Methyl-coenzyme M reductase operon protein D	mcrD	-	-	ko:K03422	ko00680,ko01100,ko01120,map00680,map01100,map01120	-	-	-	ko00000,ko00001	-	-	-	MCR_D
GFS_3223_91_10	192952.MM_1241	8.94e-140	399.0	COG4057@1|root,arCOG04858@2157|Archaea,2XSVR@28890|Euryarchaeota,2N92T@224756|Methanomicrobia	224756|Methanomicrobia	H	PFAM Methyl-coenzyme M reductase gamma subunit	mcrG	-	2.8.4.1	ko:K00402	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_gamma
GFS_3223_91_11	1094980.Mpsy_0828	8.61e-289	803.0	COG4058@1|root,arCOG04857@2157|Archaea,2XTF8@28890|Euryarchaeota,2N90K@224756|Methanomicrobia	224756|Methanomicrobia	H	Reduction of methyl-coenzyme M (2-(methylthio) ethanesulfonic acid) with 7-mercaptoheptanoylthreonine phosphate to methane and a heterodisulfide	mcrA	-	2.8.4.1	ko:K00399	ko00680,ko01100,ko01120,ko01200,map00680,map01100,map01120,map01200	M00356,M00357,M00563,M00567	R04541	RC00011,RC01542	ko00000,ko00001,ko00002,ko01000	-	-	-	MCR_alpha,MCR_alpha_N
GFS_3223_91_14	237368.SCABRO_01077	1.45e-141	434.0	COG1032@1|root,COG1032@2|Bacteria,2J1TE@203682|Planctomycetes	203682|Planctomycetes	C	B12 binding domain	-	-	-	-	-	-	-	-	-	-	-	-	B12-binding,Radical_SAM
NC_003901.1_subset_1	192952.MM_1234	8.36e-90	263.0	COG0262@1|root,arCOG01490@2157|Archaea,2XZSN@28890|Euryarchaeota,2N9Y4@224756|Methanomicrobia	224756|Methanomicrobia	H	RibD C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	RibD_C
NC_003901.1_subset_2	192952.MM_1235	7.61e-217	598.0	COG1715@1|root,arCOG02781@2157|Archaea,2Y229@28890|Euryarchaeota,2NAA8@224756|Methanomicrobia	224756|Methanomicrobia	V	Mrr N-terminal domain	-	-	-	ko:K07448	-	-	-	-	ko00000,ko02048	-	-	-	Mrr_N,Mrr_cat
NC_003901.1_subset_3	192952.MM_1236	3.36e-174	489.0	COG0281@1|root,arCOG01331@2157|Archaea,2XTRZ@28890|Euryarchaeota,2NAE5@224756|Methanomicrobia	224756|Methanomicrobia	O	Peptidase family M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
NC_003901.1_subset_4	192952.MM_1237	1.3e-159	446.0	COG0207@1|root,arCOG03214@2157|Archaea,2XYEP@28890|Euryarchaeota,2NBGJ@224756|Methanomicrobia	224756|Methanomicrobia	F	Belongs to the thymidylate synthase family. Archaeal- type ThyA subfamily	thyA	-	2.1.1.45	ko:K00560	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523	M00053	R02101	RC00219,RC00332	ko00000,ko00001,ko00002,ko01000	-	-	-	Thymidylat_synt
NC_003901.1_subset_5	192952.MM_1238	4.93e-303	827.0	COG0128@1|root,arCOG04134@2157|Archaea,2XTC3@28890|Euryarchaeota,2N97U@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
