MAGs	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
10092_metabat_res.101	337R_contig_1038810	21223	No terminal repeats	NA	19	11	0.9341	NA	1	5.1548	Viruses;Varidnaviria;Bamfordvirae
10092_metabat_res.101	337R_contig_3021780	69495	No terminal repeats	NA	80	11	0.8139	NA	1	17.4999	Viruses
10340_metabat_res.194	GL98_DN_contig_3690264	2313	No terminal repeats	NA	4	11	0.9804	NA	1	6.8731	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
10741_metabat_res.25	340R_contig_2675028	8292	No terminal repeats	NA	7	11	0.9811	NA	1	5.1522	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
10741_metabat_res.25	340R_contig_2485585	9540	No terminal repeats	NA	8	11	0.9807	NA	1	5.1548	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
10741_metabat_res.25	340R_contig_2706887	5453	No terminal repeats	NA	3	11	0.9801	NA	1	3.4366	Viruses
10741_metabat_res.25	340R_contig_2869852	4822	No terminal repeats	NA	4	11	0.9783	NA	1	3.4366	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
10741_metabat_res.25	340R_contig_2614922	5356	No terminal repeats	NA	3	11	0.9762	NA	1	3.3748	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_1073355	5914	No terminal repeats	NA	2	11	0.9751	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_38050	4541	No terminal repeats	NA	2	11	0.9681	NA	1	1.7183	Unclassified
10741_metabat_res.25	340R_contig_602147	3785	No terminal repeats	NA	2	11	0.9672	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_1048553	1892	No terminal repeats	NA	2	11	0.9658	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
10741_metabat_res.25	340R_contig_2663175	3049	No terminal repeats	NA	2	11	0.9647	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales
10741_metabat_res.25	340R_contig_2353959	5085	No terminal repeats	NA	5	11	0.9595	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales
10741_metabat_res.25	340R_contig_503072	8684	No terminal repeats	NA	7	11	0.9567	NA	1	1.6774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
10741_metabat_res.25	340R_contig_1832106	5229	No terminal repeats	NA	4	11	0.9483	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_2914644	4654	No terminal repeats	NA	5	11	0.9481	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales
10741_metabat_res.25	340R_contig_276868	4363	No terminal repeats	NA	5	11	0.9473	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
10741_metabat_res.25	340R_contig_1950933	9994	No terminal repeats	NA	4	11	0.9430	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_2476072	3557	No terminal repeats	NA	4	11	0.9424	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_788929	5653	No terminal repeats	NA	4	11	0.9342	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_2978349	4194	No terminal repeats	NA	4	11	0.9199	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_574784	6051	No terminal repeats	NA	3	11	0.9138	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_1178516	2115	No terminal repeats	NA	2	11	0.9068	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
10741_metabat_res.25	340R_contig_2615307	2390	No terminal repeats	NA	1	11	0.8982	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales
10889_metabat_res.175	GL140_1_contig_3837381	1912	No terminal repeats	NA	3	11	0.8246	NA	2	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
1133_metabat_res.110	GL122_DN_contig_602257	2974	No terminal repeats	NA	3	11	0.8790	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
1133_metabat_res.110	GL122_DN_contig_282514	4332	No terminal repeats	NA	1	11	0.8311	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
11899_metabat_res.174	338R_contig_1662631	7188	No terminal repeats	NA	5	11	0.8322	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales
11996_metabat_res.197	338R_contig_1154294	1773	No terminal repeats	NA	3	11	0.9631	NA	1	4.2801	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
11996_metabat_res.197	338R_contig_98420	1755	No terminal repeats	NA	3	11	0.9201	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
11996_metabat_res.197	338R_contig_88083	3035	No terminal repeats	NA	1	11	0.8702	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales
11996_metabat_res.197	338R_contig_1507184	1673	No terminal repeats	NA	2	4	0.8442	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
12023_metabat_res.122	338R_contig_655595	1709	No terminal repeats	NA	2	11	0.9427	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales
12023_metabat_res.122	338R_contig_2889639	5797	No terminal repeats	NA	9	11	0.9108	NA	1	5.1548	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
12023_metabat_res.122	338R_contig_3001162	2313	No terminal repeats	NA	2	11	0.8389	NA	1	1.6983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
13173_metabat_res.46	GL85_DN_contig_184645	1687	No terminal repeats	NA	3	11	0.9625	NA	1	3.4366	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
13173_metabat_res.46	GL85_DN_contig_98720	2040	No terminal repeats	NA	2	11	0.9598	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
13173_metabat_res.46	GL85_DN_contig_628855	3000	No terminal repeats	NA	1	11	0.9557	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales
13173_metabat_res.46	GL85_DN_contig_10820	2736	No terminal repeats	NA	3	11	0.9529	NA	1	2.8057	Viruses
13173_metabat_res.46	GL85_DN_contig_66925	2230	No terminal repeats	NA	6	11	0.9343	NA	1	1.7100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
13173_metabat_res.46	GL85_DN_contig_361337	4532	No terminal repeats	NA	3	11	0.9318	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
13173_metabat_res.46	GL85_DN_contig_89846	2089	No terminal repeats	NA	2	11	0.9191	NA	1	3.4366	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
13173_metabat_res.46	GL85_DN_contig_162638	1762	No terminal repeats	NA	2	11	0.8906	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Polintoviricetes;Orthopolintovirales
13173_metabat_res.46	GL85_DN_contig_617035	3202	No terminal repeats	NA	4	11	0.8798	NA	1	1.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
13173_metabat_res.46	GL85_DN_contig_130016	1890	No terminal repeats	NA	2	11	0.8235	NA	1	2.8607	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
13173_metabat_res.46	GL85_DN_contig_85232	2115	No terminal repeats	NA	2	11	0.8119	NA	1	3.4366	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
13173_metabat_res.46	GL85_DN_contig_141676	1842	No terminal repeats	NA	4	11	0.8106	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
15814_metabat_res.34	GL45_UP_contig_48236	1988	No terminal repeats	NA	2	11	0.9686	NA	1	3.3162	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales
15814_metabat_res.34	GL45_UP_contig_115317	1735	No terminal repeats	NA	2	11	0.8384	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
16514_metabat_res.202	GL79_UP_contig_25455	2162	No terminal repeats	NA	1	11	0.9219	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales
16557_metabat_res.171	GL79_UP_contig_20024	2205	No terminal repeats	NA	3	11	0.9669	NA	1	4.2130	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes
16557_metabat_res.171	GL79_UP_contig_108694	1696	No terminal repeats	NA	2	11	0.8759	NA	1	1.7183	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales
17859_metabat_res.188	GL_47_Up_contig_5802603	4523	No terminal repeats	NA	8	11	0.8744	NA	1	3.4366	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Polintoviricetes;Orthopolintovirales
18866_metabat_res.2	GL_R11_GL15_UP_1_contig_16977	10430	No terminal repeats	NA	17	11	0.9790	NA	2	6.8731	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
18866_metabat_res.2	GL_R11_GL15_UP_1_contig_69472	14341	No terminal repeats	NA	21	11	0.9783	NA	2	5.1548	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
