MAGs	16S_rRNA	23S_rRNA	5S_rRNA	CDSs	coding density	Count	CRISPR arrays	GC	hypotheticals	Length	N ratio	N50	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	signal peptides	sORFs	tmRNAs	tRNAs
336R_concoct_107	0	0	0	3891	85.7	710	0	57.5	2094	3715630	0	6411	4	1	0	0	0	4	0	0	0	1	34
336R_concoct_137	0	0	0	2907	84.6	402	0	52.4	1877	2869517	0	10246	1	3	0	0	0	1	0	0	0	1	25
336R_concoct_171_sub	0	0	0	3659	87	213	0	65.4	1403	3902628	0	32395	8	5	0	0	0	9	0	0	0	1	36
336R_concoct_189_sub	0	0	0	3394	85.7	675	1	59.4	1954	3331305	0	6346	6	4	0	0	0	1	0	0	0	1	37
336R_concoct_227_sub	0	0	0	3651	81.2	977	0	66.6	1473	3754821	0	4378	7	4	0	0	0	2	0	0	0	1	31
336R_concoct_229	0	0	0	4670	87.8	520	0	64.2	2288	5864193	0	13990	5	4	0	0	0	4	0	0	0	1	39
336R_concoct_237	1	0	0	4557	85.1	703	0	64.2	2664	4274276	0	8286	4	4	0	0	0	5	0	0	2	0	35
336R_concoct_238	0	0	0	3040	66.2	1207	1	51.1	2084	3414929	0	3045	6	1	0	0	0	1	1	0	0	0	14
336R_concoct_272_sub	1	1	3	3617	84.7	181	1	48.6	717	4102695	0	38748	8	8	0	0	0	10	5	0	0	1	64
336R_concoct_288_sub	0	0	0	3550	82.4	559	0	58.7	1704	3944620	0	10341	2	5	0	0	0	3	0	0	0	0	32
336R_concoct_292_sub	0	0	0	2906	80.1	773	0	61.5	1554	2953924	0	4606	2	2	0	0	0	10	0	0	0	1	44
336R_concoct_308_sub	0	0	0	3261	80.6	957	0	64.4	1388	3319603	0	3999	5	5	0	0	0	0	0	0	0	1	24
336R_concoct_310_sub	0	0	0	2390	74.3	774	0	38.6	1472	2434454	0	3534	1	2	0	0	0	8	0	0	0	0	21
336R_concoct_315	0	0	0	4442	77.3	1343	0	57.5	2612	4295257	0	3502	1	0	0	0	0	1	0	0	0	0	31
336R_concoct_63	0	0	0	2136	68.9	786	0	32.3	1068	2559917	0	3566	2	1	0	0	0	1	0	0	0	0	20
336R_concoct_84_sub	0	0	0	3459	79.6	936	0	59.5	1488	3639439	0	4736	8	6	0	0	0	7	0	0	0	1	29
336R_metabat_250_sub	0	0	0	2287	78.7	477	1	39	908	2573896	0	5800	3	2	0	0	0	1	0	0	1	1	24
336R_metabat_261	0	0	1	4620	87.4	345	0	68.3	910	5114659	0	23534	20	5	0	0	0	3	1	0	0	1	44
336R_metabat_264	0	0	1	2441	90.8	78	1	50.6	1389	2515642	0	55153	1	3	0	0	0	0	1	0	0	0	47
336R_metabat_339_sub	0	0	1	3645	83.5	691	0	66.5	1477	3819085	0	6329	6	5	0	0	0	5	1	0	1	0	26
336R_metabat_38	0	0	1	2515	91	198	0	66.2	977	2719957	0	19470	4	2	0	0	0	0	1	0	0	0	42
336R_metabat_67	1	1	1	4002	91	74	0	50.5	2542	4082280	0	104531	4	3	0	0	0	0	3	0	0	1	47
336R_metabinner_10	0	0	2	4029	89.9	82	1	60	2706	4913458	0	103183	3	3	0	0	0	0	2	0	0	1	47
336R_metabinner_104	0	0	0	3023	82.2	722	0	64.3	1553	3372099	0	5269	3	4	0	0	0	3	0	0	0	0	29
336R_metabinner_177_sub	0	0	0	3096	85.5	498	2	67.2	1056	3253224	0	8390	4	4	0	0	0	2	0	0	0	1	28
336R_metabinner_21	0	0	0	3291	89.1	186	1	54.4	1470	3495785	0	35168	1	3	0	0	0	2	0	0	0	0	35
336R_metabinner_23	2	1	1	1037	81.2	179	1	51.1	687	1198783	0	8695	0	297	0	0	0	0	4	0	0	1	33
336R_metabinner_25	0	0	0	2433	90.9	235	0	66.7	807	2661224	0	17251	5	3	0	0	0	0	0	0	0	0	32
336R_metabinner_28	0	0	1	6886	90.8	434	0	67.1	4707	8041723	0	25690	4	4	0	0	0	0	1	0	0	1	44
336R_metabinner_29_sub	0	0	1	4133	79.8	722	0	41.5	1700	4659706	0	8082	4	4	0	0	0	4	1	0	0	1	33
336R_metabinner_34	0	0	0	1482	88.6	174	0	46.3	331	1498032	0	12831	5	1	0	0	0	1	0	0	0	1	32
336R_metabinner_39	0	0	1	4339	86.5	642	1	63.8	2013	4259728	0	8497	5	1	0	0	0	6	1	0	2	1	44
336R_metabinner_45_sub	0	0	0	4274	88.5	377	2	54.6	2331	4765049	0	17856	3	15	0	0	0	5	0	0	0	0	41
336R_metabinner_49	0	0	0	2268	83	434	0	58.5	880	2193060	0	5989	1	2	0	0	0	1	0	0	0	0	18
336R_metabinner_51	0	0	0	3744	81.6	607	0	57.9	1917	4011055	0	8092	3	3	0	0	0	2	0	0	0	1	59
336R_metabinner_61	0	0	0	2881	78.8	509	0	37.2	1527	3300617	0	8472	3	44	0	0	0	1	0	0	0	1	26
336R_metabinner_68	0	0	0	3695	76.7	901	1	48.6	2573	4224424	0	5316	2	2	0	0	0	0	0	0	0	1	37
336R_metabinner_76_sub	0	0	0	7936	86.6	1178	0	68.8	5048	8651402	0	9645	2	5	0	0	0	2	0	0	0	1	55
336R_metabinner_8	0	0	0	4981	87.8	211	0	60.4	1459	5164927	0	43822	4	3	0	0	0	8	0	0	0	1	38
337R_concoct_5_sub	0	0	0	2828	79.2	759	0	58.1	1383	2802494	0	4037	6	1	0	0	0	5	0	0	0	0	32
337R_metabat_172	0	0	0	3221	87.8	241	0	60	1074	3254835	0	26974	4	3	0	0	0	9	0	0	0	1	38
337R_metabinner_1	0	0	0	3214	89.6	173	0	36.2	1042	3708118	0	34364	3	3	0	0	0	2	0	0	0	1	34
337R_metabinner_13	0	0	0	2855	83.9	258	0	32.8	1227	3405137	0	17635	4	3	0	0	0	0	0	0	0	1	31
337R_metabinner_14	0	0	0	3141	76.4	595	0	34.9	1147	3799871	0	8128	5	8	0	0	0	12	0	0	0	0	23
337R_metabinner_19	0	0	0	3459	80.9	446	2	65.2	1359	3605799	0	11282	4	3	0	0	0	2	0	0	1	1	48
337R_metabinner_26_sub	0	0	0	2613	89.4	175	0	64.4	667	2681655	0	23203	9	3	0	0	0	3	0	0	0	0	42
337R_metabinner_31	0	0	0	3472	85.6	392	0	58	1683	3816282	0	12888	1	4	0	0	0	3	0	0	0	0	41
337R_metabinner_52	0	0	0	3737	72.9	900	2	35.7	1715	4261492	0	5385	5	4	0	0	0	9	0	0	1	0	25
337R_metabinner_9	0	0	0	4196	83.4	307	1	48.2	1200	4747605	0	29091	14	6	1	0	0	10	1	0	0	0	52
338R_concoct_142	0	0	0	1272	77	305	0	47.3	802	1439521	0	5835	0	2	0	0	0	0	0	0	0	1	27
338R_concoct_148	0	0	0	4402	76.1	779	1	45.3	1965	4525450	0	8197	3	7	0	0	0	12	0	0	0	1	37
338R_concoct_161	0	0	0	2651	83.6	347	0	41	612	2867418	0	14654	7	5	0	0	0	30	0	0	14	0	43
338R_concoct_193	0	0	0	3252	85	692	1	58.2	1051	3282550	0	5972	11	5	0	0	0	4	0	0	0	1	27
338R_concoct_195	0	0	0	4254	88.8	308	0	62.7	795	4527124	0	24561	17	6	0	0	0	18	0	0	0	0	42
338R_concoct_206	0	0	1	2485	77.4	756	0	58	1512	2461071	0	3666	4	3	0	0	0	0	1	0	1	0	32
338R_concoct_227	0	0	0	2092	69	799	0	45.1	969	2350396	0	3064	0	5	0	0	0	1	0	0	0	0	20
338R_concoct_33_sub	0	0	0	2708	83.5	548	0	67.6	786	2800242	0	6333	5	4	0	0	0	5	0	0	0	0	40
338R_concoct_41_sub	0	0	1	2554	77.1	582	0	44.1	860	2861448	0	6545	2	7	0	0	0	2	0	0	0	0	35
338R_concoct_47	0	0	0	2740	75.2	698	1	51.3	1261	3010541	0	5244	5	3	0	0	0	1	0	0	0	0	26
338R_concoct_51_sub	0	0	1	3162	75.6	917	0	59.4	1509	3385780	0	4328	4	12	0	0	0	11	1	0	0	1	36
338R_concoct_65	0	0	0	6550	87.3	658	6	59.8	3496	7168713	0	16639	3	2	0	0	0	7	0	0	1	1	41
338R_concoct_82	0	0	0	4420	81.1	957	0	69.6	1698	4599116	0	5814	7	7	0	0	0	5	0	0	0	1	34
338R_concoct_94	0	0	1	4509	82.9	775	2	59.6	2661	4963970	0	8829	3	5	0	0	0	1	1	0	0	0	44
338R_metabat_123	0	0	1	2630	88.1	268	0	68.2	864	2610970	0	12693	6	1	0	0	0	2	1	0	0	1	34
338R_metabinner_10	0	0	0	4098	90.4	131	0	65.1	1179	4349376	0	60444	4	6	0	0	0	9	0	0	0	1	39
338R_metabinner_17	1	0	0	4438	87.1	82	0	50	753	5090064	0	99577	17	7	0	0	0	1	1	0	0	1	56
338R_metabinner_18	0	0	0	3591	84.9	653	0	64.5	1223	3676598	0	6857	4	7	0	0	0	3	1	0	0	1	38
338R_metabinner_2	0	0	0	2957	90.7	99	0	35.2	1592	3423314	0	49176	3	3	0	0	0	0	0	0	0	1	30
338R_metabinner_30	0	0	0	2609	83.2	270	0	33.5	1146	3011889	0	17201	4	8	0	0	0	4	0	0	0	0	28
338R_metabinner_33_sub	0	0	0	2953	86.6	542	0	68.3	945	3088214	0	6970	1	5	0	0	0	2	0	0	0	1	20
338R_metabinner_42	0	0	0	3414	88.4	417	0	58.6	1500	3782033	0	12817	3	2	0	0	0	0	0	0	0	1	31
338R_metabinner_45_sub	0	0	0	4075	86.3	664	0	62.7	1007	4195647	0	8289	14	7	0	0	0	14	0	0	0	1	31
338R_metabinner_5	0	0	1	2397	89.3	114	0	36.4	585	2640396	0	38121	8	57	0	0	0	8	1	0	0	1	33
339R_concoct_126_sub	0	0	0	2541	79.1	685	0	64.7	1316	2647962	0	4428	6	2	0	0	0	1	0	0	0	1	34
339R_concoct_132_sub	0	0	0	3100	75.5	915	1	56.3	1914	2952242	0	3481	1	2	0	0	0	5	0	0	0	0	36
339R_concoct_170_sub	0	0	1	3732	78.9	970	0	60.2	1943	3882944	0	4822	2	6	0	0	0	2	1	0	0	1	32
339R_concoct_180	0	0	1	2279	84.9	454	0	69	849	2462983	0	7974	3	4	0	0	0	2	1	0	0	1	32
339R_concoct_49	0	0	0	4109	82.6	357	1	44	1624	4458826	0	21952	4	8	0	0	0	13	0	0	0	1	44
339R_concoct_57	0	0	0	4410	82.6	1056	0	67.2	2269	4263164	0	4838	5	5	0	0	0	3	0	0	2	0	33
339R_concoct_81_sub	0	0	0	2758	83.6	534	0	65.3	1036	2818563	0	6851	2	4	0	0	0	3	0	0	0	0	38
339R_concoct_84_sub	0	0	0	4291	81.5	1133	0	59.9	2280	4353229	0	4443	0	2	0	0	0	2	0	0	0	2	33
339R_metabat_254	0	0	0	2169	83.4	285	0	33.9	592	2401219	0	11316	7	40	0	0	0	10	0	0	0	0	33
339R_metabinner_19	0	0	1	2910	88.8	242	0	50	809	2928541	0	19360	8	9	0	0	0	3	1	0	0	1	45
339R_metabinner_2	0	0	0	4485	89.3	176	0	52.5	2404	4618804	0	51054	4	3	0	0	0	0	0	0	0	1	68
339R_metabinner_32	0	0	0	4224	80.6	769	0	57.8	2138	4799467	0	7894	2	2	0	0	0	2	0	0	0	0	40
339R_metabinner_34	0	0	0	3097	78.2	664	0	61.6	1557	3424782	0	6097	3	2	0	0	0	13	1	0	0	2	29
339R_metabinner_38	0	0	0	3885	84.5	528	0	58.2	1394	4098625	0	10902	4	3	0	0	0	3	0	0	0	0	32
339R_metabinner_9	0	0	0	4114	85.2	280	2	39	1503	4778213	0	35108	8	3	0	0	0	11	0	0	1	1	37
340R_metabat_103	0	0	1	2835	81.4	324	0	56.8	1064	2711797	0	10824	2	3	0	0	0	22	1	0	0	0	31
340R_metabinner_16_sub	0	0	0	3005	87.2	272	2	62.2	918	3075607	0	18088	5	2	0	0	0	4	0	0	0	0	49
340R_metabinner_33_sub	0	0	0	3125	79.1	724	0	56	1156	3067332	0	4713	7	7	0	0	0	10	0	0	0	1	24
340R_metabinner_40	0	0	0	2545	88.3	308	0	63.7	725	2577689	0	11172	3	3	0	0	0	5	0	0	0	0	38
341R_concoct_105_sub	0	0	0	4598	75	1194	1	38.8	2278	4716322	0	4631	5	2	0	0	0	19	0	0	0	0	39
341R_concoct_108	0	0	0	3957	76.7	657	2	45.1	1706	4079971	0	9638	3	10	0	0	0	8	0	0	0	1	36
341R_concoct_14	0	0	0	2586	89.3	34	0	35.4	887	2800908	0	209999	4	10	0	0	0	2	0	0	1	1	33
341R_concoct_147	0	0	0	4058	73.9	1369	0	58.3	2529	4507852	0	3619	3	3	0	0	0	3	0	0	0	1	38
341R_concoct_52	0	0	0	3507	79.9	850	1	58.6	2260	3340365	0	4854	11	2	0	0	0	1	0	0	0	1	31
341R_metabat_147	0	0	0	5418	86.7	512	1	66.3	1860	5573463	0	16057	7	8	0	0	0	11	0	0	2	1	46
341R_metabat_72_sub	0	0	0	10697	83.5	1713	1	69.1	7428	11928179	0	8322	2	3	0	0	0	4	0	0	0	0	82
341R_metabinner_12_sub	0	0	2	6068	86.3	229	0	41.3	1625	7048948	0	52708	14	6	0	0	0	23	2	0	1	1	47
341R_metabinner_54_sub	0	0	0	3057	77.2	659	1	62.7	1646	3366056	0	5997	3	2	0	0	0	8	0	0	0	1	33
341R_metabinner_56_sub	0	0	0	4762	79.9	895	0	62	2133	5336184	0	7644	10	3	0	0	0	34	0	0	0	0	26
