MAGs	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
336R_concoct_107	336R_concoct_107_672	8409	No terminal repeats	NA	11	11	0.8734	NA	2	9.0732	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_137	336R_concoct_137_344	7684	No terminal repeats	NA	11	11	0.9802	NA	3	12.567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_880	4666	No terminal repeats	NA	10	11	0.9736	NA	3	10.1782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_522	4339	No terminal repeats	NA	7	11	0.9676	NA	2	6.7313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_705	1693	No terminal repeats	NA	2	11	0.9628	NA	1	2.9176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_674	6564	No terminal repeats	NA	8	11	0.9552	NA	4	7.5975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_189	2493	No terminal repeats	NA	3	11	0.9531	NA	3	4.8063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_552	5422	No terminal repeats	NA	7	11	0.9037	NA	2	3.9349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_502	2204	No terminal repeats	NA	2	11	0.8635	NA	1	3.1592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_532	2987	No terminal repeats	NA	3	11	0.8589	NA	1	3.022	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_455	2196	No terminal repeats	NA	4	11	0.8472	NA	2	4.1667	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_227_sub	336R_concoct_227_sub_696	1722	No terminal repeats	NA	3	11	0.8392	NA	3	4.485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_229	336R_concoct_229_97	7540	No terminal repeats	NA	8	11	0.9473	NA	1	4.664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_229	336R_concoct_229_275	5841	No terminal repeats	NA	6	11	0.9209	NA	3	5.5858	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_237	336R_concoct_237_410	7762	No terminal repeats	NA	4	11	0.9732	NA	1	4.1558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_237	336R_concoct_237_192	9047	No terminal repeats	NA	8	11	0.882	NA	1	4.8167	Viruses
336R_concoct_272_sub	336R_concoct_272_sub_101	4602	No terminal repeats	NA	8	11	0.9567	NA	2	5.3561	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales
336R_concoct_272_sub	336R_concoct_272_sub_82	40479	DTR	NA	55	11	0.9359	NA	9	43.354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_288_sub	336R_concoct_288_sub_327	37200	No terminal repeats	NA	32	11	0.9806	NA	6	33.2419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_288_sub	336R_concoct_288_sub_398	9216	No terminal repeats	NA	17	11	0.9775	NA	1	11.1887	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_288_sub	336R_concoct_288_sub_470	10059	No terminal repeats	NA	15	11	0.9167	NA	2	6.9275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_292_sub	336R_concoct_292_sub_332	5012	No terminal repeats	NA	5	11	0.9741	NA	1	5.1365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_292_sub	336R_concoct_292_sub_475	1651	No terminal repeats	NA	3	11	0.9665	NA	3	4.8358	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_292_sub	336R_concoct_292_sub_10	5116	No terminal repeats	NA	6	11	0.966	NA	1	4.8488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_292_sub	336R_concoct_292_sub_697	2264	No terminal repeats	NA	3	11	0.8579	NA	1	4.2881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_292_sub	336R_concoct_292_sub_622	2071	No terminal repeats	NA	3	11	0.8245	NA	1	1.6741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_326	5190	No terminal repeats	NA	9	11	0.9764	NA	4	8.4116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_60	2996	No terminal repeats	NA	5	11	0.9543	NA	3	4.0753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_200	4972	No terminal repeats	NA	10	11	0.9413	NA	5	12.5671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_684	6560	No terminal repeats	NA	8	11	0.9347	NA	2	8.0666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_839	3162	No terminal repeats	NA	6	11	0.927	NA	1	4.4911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_576	8454	No terminal repeats	NA	13	11	0.9063	NA	6	13.3745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_314	2075	No terminal repeats	NA	3	11	0.8979	NA	1	3.9248	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_197	1855	No terminal repeats	NA	3	11	0.8911	NA	3	3.8024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_601	2812	No terminal repeats	NA	3	11	0.8683	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_847	1816	No terminal repeats	NA	2	11	0.8631	NA	2	2.8401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_311	1777	No terminal repeats	NA	3	11	0.8579	NA	1	2.6181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_945	4625	No terminal repeats	NA	6	11	0.8563	NA	2	8.9975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_308_sub	336R_concoct_308_sub_919	3793	No terminal repeats	NA	6	11	0.8275	NA	2	3.7401	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_315	336R_concoct_315_206	4990	No terminal repeats	NA	8	11	0.9267	NA	1	7.8997	Unclassified
336R_concoct_315	336R_concoct_315_1238	2643	No terminal repeats	NA	3	11	0.906	NA	2	2.7099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_315	336R_concoct_315_786	1769	No terminal repeats	NA	3	11	0.8929	NA	1	2.5134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
336R_concoct_315	336R_concoct_315_823	6150	No terminal repeats	NA	4	11	0.8664	NA	1	2.9236	Unclassified
336R_concoct_63	336R_concoct_63_66	4068	No terminal repeats	NA	6	11	0.8919	NA	1	3.2195	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
