protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GL47_Down_concoct_66_504_2	468	S1_8	443	6.1e-131	429.4	3	423	21	437	94.8	1	high	3.10.1.1 3.1.6.- 	
GFS_10859_222_15	768	S1_4	536	4.7e-211	694.4	2	522	32	577	97.0	1	high	3.1.6.1 	
GFS_7692_567_5	520	S1_20	444	6.4e-178	584.4	2	438	41	510	98.2	1	high		
GFS_4042_314_2	675	S1_17	425	3.6e-179	588.3	1	423	73	538	99.3	1	high	3.1.6.- 	
GL74_UP_metabat_64_231_2	472	S1_14	426	1.6e-185	609.2	2	421	19	456	98.4	1	high		
GFS_13292_414_8	503	S1_15	471	2e-187	616.1	4	468	28	501	98.5	1	high	3.1.6.4 	
GL16_UP_concoct_134_229_1	606	S1_8	443	3.1e-137	450.2	2	426	18	439	95.7	1	high	3.10.1.1 3.1.6.- 	
GL117_UP_concoct_203_51_44	295	S1_15	471	5.5e-96	314.6	183	468	2	292	60.5	1	high	3.1.6.4 	
GL72_UP_concoct_246_63_5	433	S1_21	416	7.9e-180	590.3	3	414	21	431	98.8	1	high		
GL117_UP_metabat_119_34_2	530	S1_17	425	2.7e-162	532.7	2	410	41	478	96.0	1	high	3.1.6.- 	
GL52_DN_concoct_140_575_3	202	S1_18	426	2.5e-95	312.0	2	191	5	202	44.4	1	high		
GFS_4384_1118_4	437	S1_24	410	2e-134	441.0	2	405	25	412	98.3	1	high		
GL117_UP_metabat_70_64_1	307	S1_21	416	5.3e-129	422.9	2	301	20	307	71.9	1	high		
GL99_UP_concoct_187_284_8	478	S1_26	443	1.4e-143	471.5	2	435	20	465	97.7	1	high		
GFS_12766_150_14	466	S1_25	440	1.2e-177	583.7	2	434	38	464	98.2	1	high	3.1.6.- 	
GL47_Down_concoct_66_8_2	510	S1_8	443	2.5e-136	447.2	2	435	23	477	97.7	1	high	3.10.1.1 3.1.6.- 	
338R_concoct_65_477_3	408	S1_8	443	2.1e-116	381.5	2	394	15	408	88.5	1	high	3.10.1.1 3.1.6.- 	
GL140_3_concoct_225_sub_471_3	400	S1_24	410	7.9e-119	389.7	20	405	1	370	93.9	1	high		
GL124_DN_concoct_31_sub_113_2	462	S1_8	443	7.5e-133	435.8	2	424	22	440	95.3	1	high	3.10.1.1 3.1.6.- 	
GFS_4002_1238_1	508	S1_20	444	2.9e-180	592.2	2	437	32	493	98.0	1	high		
GFS_5475_100_1	287	S1_7	456	1.7e-110	362.4	182	449	2	281	58.6	1	high	3.1.6.13 3.1.6.- 	
GL53_Down_metabinner_27_sub_852_7	509	S1_11	498	1.1e-219	722.8	6	484	21	500	96.0	1	high	3.1.6.11 3.1.6.14 	
GL75_DN_concoct_134_149_3	380	S1_0	499	1.3e-98	323.3	110	492	5	360	76.6	1	high	3.1.-.- 	
GFS_5441_648_1	343	S1_8	443	2.8e-109	358.1	2	321	22	343	72.0	1	high	3.10.1.1 3.1.6.- 	
GL16_UP_concoct_134_526_3	371	S1_7	456	4.9e-103	337.8	99	448	3	336	76.5	1	high	3.1.6.13 3.1.6.- 	
GL73_DN_metabat_110_sub_532_3	463	S1_32	423	2e-161	529.6	2	411	23	442	96.7	1	high		
GFS_6871_757_2	452	S1_19	430	8.7e-168	550.7	2	419	25	434	97.0	1	high	3.1.6.- 	
GFS_11902_28_3	294	S1_21	416	6.5e-136	445.7	2	276	18	293	65.9	1	high		
GL72_DN_metabinner_2_24_56	380	S1_20	444	8.2e-64	208.4	235	436	1	204	45.3	1	probable fragment		
