protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GFS_3356_300_5	499	S1_15	471	1.6e-178	586.7	2	464	17	490	98.1	1	high	3.1.6.4 	
GFS_10893_172_19	507	S1_53	474	8.6e-116	380.0	4	470	36	504	98.3	1	high		
338R_concoct_65_138_14	439	S1_36	438	3.4e-182	598.4	2	425	23	431	96.6	1	high		
GL53_Down_concoct_85_sub_131_3	520	S1_16	444	1.7e-140	460.8	2	435	29	510	97.5	1	high		
GFS_13892_248_6	515	S1_6	469	1.9e-150	494.3	3	459	25	490	97.2	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_5321_44_43	512	S1_46	459	3.3e-174	572.1	2	459	28	494	99.6	1	high		
336R_metabat_264_32_39	464	S1_25	440	1.3e-139	458.3	2	431	34	457	97.5	1	high	3.1.6.- 	
GFS_4219_29_11	967	S1_8	443	1.7e-39	128.1	3	300	257	540	67.0	1	probable fragment		
338R_concoct_65_246_5	526	S1_4	536	2.9e-153	503.7	2	503	20	513	93.5	1	high	3.1.6.1 	
GL114_DN_metabinner_24_302_4	561	S1_29	405	4.1e-137	449.8	2	401	49	466	98.5	1	high		
GFS_3877_74_28	1163	S1_20	444	2.8e-122	401.0	2	430	83	577	96.4	1	high		
GL114_DN_concoct_147_6_14	539	S1_37	447	2.8e-67	219.9	2	173	3	177	38.3	1	probable fragment		
GL74_DN_concoct_196_58_16	451	S1_16	444	6.4e-169	554.5	2	437	22	446	98.0	1	high		
GFS_6472_274_4	519	S1_12	481	6e-205	674.0	2	480	3	485	99.4	1	high	3.1.6.6 3.1.6.- 	
GL74_DN_concoct_196_163_32	646	S1_22	433	2.2e-35	114.5	167	422	395	632	58.9	1	probable fragment		
GL74_UP_metabat_107_sub_118_3	479	S1_16	444	3.5e-170	558.7	2	430	35	476	96.4	1	high		
GFS_6440_177_1	234	S1_36	438	3.2e-31	100.9	5	194	40	220	43.2	1	probable fragment		
GFS_4518_1800_8	464	S1_61	451	1.1e-72	237.6	1	433	7	414	95.8	1	low		
GFS_10835_209_7	689	S1_8	443	9.6e-29	212.6	3	331	57	395	74.0	1	probable fragment		fusion of 2 fragments from 240 to 395 score 92.6 fragment 2 from 57 to 229 score 120.0
GFS_9240_1079_6	898	S1_8	443	4.5e-41	133.3	29	305	346	640	62.3	1	probable fragment		
GL117_UP_concoct_203_48_3	722	S1_4	536	3e-194	638.9	2	518	23	563	96.3	1	high	3.1.6.1 	
338R_concoct_65_311_2	420	S1_18	426	1.5e-133	438.0	2	411	15	410	96.0	1	high		
GL119_DN_concoct_185_272_3	541	S1_4	536	6.6e-148	486.0	2	505	35	520	93.8	1	high	3.1.6.1 	
GL47_Down_concoct_66_574_3	473	S1_8	443	7.2e-132	432.5	2	435	18	463	97.7	1	high	3.10.1.1 3.1.6.- 	
GL51_Up_concoct_59_sub_668_2	511	S1_8	443	3.1e-123	404.1	2	431	58	497	96.8	1	high	3.10.1.1 3.1.6.- 	
GL140_1_metabinner_16_302_1	276	S1_12	481	2.2e-87	286.3	250	480	1	236	47.8	1	probable fragment		
GL133_DN_metabinner_11_sub_399_32	522	S1_6	469	2.5e-162	533.5	2	462	36	515	98.1	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL80_DN_metabinner_5_81_1	1057	S1_6	469	3.3e-145	477.0	2	461	215	718	97.9	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_14463_459_2	518	S1_29	405	1.6e-82	270.0	5	384	48	496	93.6	1	low		
GL137_UP_concoct_73_25_2	392	S1_8	443	3.4e-31	100.7	3	293	1	307	65.5	1	probable fragment		
GL140_3_concoct_225_sub_1592_5	442	S1_27	454	1.7e-119	392.1	2	444	21	431	97.4	1	high	3.1.6.12 3.1.6.- 	
GL140_3_concoct_147_98_4	593	S1_8	443	1.5e-57	187.6	3	331	29	358	74.0	1	probable fragment		
GFS_8640_855_3	315	S1_8	443	3.1e-19	145.5	6	280	39	309	61.9	1	probable fragment		fusion of 2 fragments from 212 to 309 score 61.3 fragment 2 from 39 to 206 score 84.2
GFS_2200_212_6	507	S1_0	499	1.6e-188	619.9	3	493	6	493	98.2	1	high	3.1.-.- 	
GFS_13645_374_1	450	S1_12	481	2.2e-36	118.1	250	441	231	422	39.7	1	probable fragment		
GFS_4440_41_3	546	S1_6	469	1.5e-145	478.1	2	459	40	538	97.4	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_1591_220_23	433	S1_18	426	8.3e-160	524.5	2	411	29	431	96.0	1	high		
GL94_UP_concoct_254_337_2	424	S1_32	423	4e-144	472.6	3	403	19	414	94.6	1	high		
GFS_1458_686_3	777	S1_4	536	4e-201	661.6	2	519	44	578	96.5	1	high	3.1.6.1 	
GL140_5_concoct_333_sub_530_3	426	S1_28	445	3.1e-121	397.6	2	425	17	410	95.1	1	high		
GFS_4620_357_2	590	S1_8	443	7.9e-43	139.1	5	332	6	324	73.8	1	probable fragment		
